"logFC","AveExpr","t","P.Value","adj.P.Val","B","Probe_ID"
0.30670556313537,4.95151873006967,2.41235528703706,0.039320592837135,0.196852120371579,-4.14368775401239,"1007_s_at"
-0.507717138538391,6.80248198668308,-5.1627286911935,0.000609344250288946,0.0215808614685005,0.0129939665242569,"1053_at"
0.078475571043943,4.12031059111306,0.53139887566956,0.608114744671105,0.797141743268084,-6.42175171112914,"117_at"
0.148790098617517,6.78981768562254,1.09384475077767,0.302671074833386,0.564883822130518,-5.96172900578165,"121_at"
0.106684128026886,2.62146337899807,1.41534614877257,0.190907041163994,0.445114884395076,-5.58973361751771,"1255_g_at"
0.447316695845916,7.78614279642114,2.95525916634111,0.0162310570076571,0.121010460829845,-3.27927767368083,"1294_at"
-0.0283582100556712,4.41830550593015,-0.307278923323986,0.765681621170856,0.888184115129825,-6.52211030252487,"1316_at"
0.175021673188422,3.07714655357516,1.85506509554525,0.096854068734147,0.315864107897784,-4.99147011840877,"1320_at"
0.426836895522947,6.25649991021127,0.624316624710335,0.548047617881419,0.758361189113881,-6.36534927978594,"1405_i_at"
0.00949586484802994,2.78701503965356,0.115807399865081,0.910369533656591,0.962900093873817,-6.56602224398374,"1431_at"
0.0094557740372341,3.627100443475,0.0939855556943914,0.927197199515619,0.970074282433416,-6.56851594234379,"1438_at"
0.070704675032768,5.81594755356098,0.810095164487778,0.438954853981417,0.683053735830123,-6.22820195350327,"1487_at"
0.0870994718996999,4.20096210803187,0.685301880972918,0.510562512519414,0.735615116880137,-6.32382912254205,"1494_f_at"
0.214624964646044,6.00014778504083,2.171402860057,0.0582355925478742,0.242988255326652,-4.51843344839822,"1598_g_at"
0.0393114687918145,5.76641248006092,0.399817678052652,0.698692541295315,0.85291104950604,-6.48693364213367,"160020_at"
0.0328723981584694,6.81028130089339,0.242165655964745,0.814125849519127,0.914357527085334,-6.54145342485342,"1729_at"
-0.16090535475742,4.29978302072653,-1.4781143939381,0.173784388028013,0.425334521215122,-5.50986391266181,"177_at"
-0.205986856450492,4.01425597039839,-1.48192226711233,0.172790220052848,0.424307949230189,-5.50495122292703,"1773_at"
0.296667621723496,6.91250161675093,2.67197899063644,0.0257256774750896,0.155496764197281,-3.73206899241466,"179_at"
0.00474929309143385,6.0421177294379,0.0492366353677426,0.961815192530582,0.985165159041969,-6.57200916843684,"1861_at"
-0.170951894516479,9.32535510840785,-2.02480673291277,0.0738198588421323,0.272626822849168,-4.74094594206783,"200000_s_at"
-0.0443191781049354,9.49520353769897,-0.573235784618834,0.580641998160873,0.780280956079363,-6.39739672508824,"200001_at"
0.000178721560991633,12.8773051360708,0.00242887438033093,0.998115474996228,0.999089147260947,-6.57332794505438,"200002_at"
0.00646272128276835,13.0277824837553,0.0867775818824195,0.932764411544354,0.972717573072445,-6.56922589654237,"200003_s_at"
-0.127713728263206,10.7727132705714,-1.22682115535253,0.25127495165831,0.512796171592815,-5.81596254366015,"200004_at"
0.128485024971102,9.86572312828934,1.53771445200633,0.15878739732531,0.406306782703416,-5.43212379161306,"200005_at"
-0.438785678533873,10.8035947870952,-5.70786351747651,0.00030087459875985,0.0156969167132861,0.718116100509571,"200006_at"
0.00743581935176152,11.3919952785162,0.0951848785913423,0.926271278140791,0.96970653531231,-6.56839233088249,"200007_at"
