"Probe_ID","logFC_RMA_limma","P.Value_RMA_limma","adj.P.Val_RMA_limma","gene"
"202186_x_at",0.199879515620488,0.0425908025931117,0.2055003918923,"PPP2R5A"
"202187_s_at",0.191409368083083,0.0442101140169951,0.209234907575228,"PPP2R5A"
"204611_s_at",0.264183946163939,0.0607575806342203,0.247485211883073,"PPP2R5B"
"635_s_at",0.205455299283928,0.10633729745923,0.331126079885275,"PPP2R5B"
"201877_s_at",-0.436276586756409,0.108866464236659,0.334928631929298,"PPP2R5C"
"213305_s_at",-0.379392449407454,0.00358607355252567,0.0529190808744582,"PPP2R5C"
"214083_at",0.142492096435798,0.420515185799968,0.667107082156702,"PPP2R5C"
"202513_s_at",-0.150678186882965,0.185101344912674,0.438575236232041,"PPP2R5D"
"211159_s_at",0.083450419812702,0.524008158467057,0.743445000566904,"PPP2R5D"
"203338_at",0.0239090683430305,0.899635343299201,0.957579270040436,"PPP2R5E"
