"logFC","AveExpr","t","P.Value","adj.P.Val","B","ID"
0.0362292879598567,13.5861219016667,1.96294209174507,0.0526186514946018,0.195991534409999,-4.44367613090638,"ILMN_1343291"
0.123000650895325,12.6283087042708,0.918000396093149,0.360975810215501,0.607095680816978,-5.87618495371621,"ILMN_1343295"
-0.0123046864415189,4.43947622036458,-0.300697846533762,0.764311155130794,0.889705268517229,-6.24154310084541,"ILMN_1651199"
-0.106765504658642,4.96276620730208,-1.5138259608421,0.133436170063931,0.343801376160255,-5.18090121750583,"ILMN_1651209"
0.0451334032896235,4.48281903345833,1.33644378163796,0.184640796320599,0.415363141326931,-5.4222689970975,"ILMN_1651210"
0.00435190642861846,4.58393017827083,0.103136738455336,0.918074882033273,0.964332178599885,-6.28046696081017,"ILMN_1651221"
-0.767650232481043,11.8217256042708,-7.4154638386629,5.35003797913032e-11,1.80842748061703e-07,14.6425604679816,"ILMN_1651228"
0.175268243681284,6.0756899739375,1.18424019822248,0.239313567673983,0.482658698586693,-5.60631144150891,"ILMN_1651229"
-0.00550398859171197,4.455232800625,-0.184641075241402,0.853909642494236,0.935207607446674,-6.26902016660509,"ILMN_1651230"
0.0242657003781307,4.77225641136458,0.330719248949041,0.741595011243728,0.87794740808136,-6.23229991285763,"ILMN_1651232"
-0.0721405834443765,4.51955599284375,-1.97367212455607,0.0513648201539455,0.19306846487216,-4.42390326445471,"ILMN_1651235"
-0.0724648207267465,4.6026319343125,-1.57415986182438,0.118821359724686,0.321458584702677,-5.09228809093227,"ILMN_1651236"
0.831008983398089,8.01075476627083,3.02100086180829,0.00324759506660253,0.0332797620911285,-2.04134943605722,"ILMN_1651237"
0.0527792190146347,4.42151630895833,1.70994666046136,0.0905855640213621,0.274616655310959,-4.88090979048275,"ILMN_1651238"
0.0715484086238327,4.46976541163542,2.10877959182031,0.0376313102856771,0.159929940479988,-4.16651958934182,"ILMN_1651249"
-0.0216029682089609,4.44371486225,-0.89201136350386,0.374672036884707,0.619821184419177,-5.89894193603581,"ILMN_1651253"
-0.377953590797302,9.75890594811458,-2.49751661501157,0.0142511053277622,0.0867290454508347,-3.34114909041199,"ILMN_1651254"
0.254682664407548,5.9709866561875,1.86848827584796,0.064818698890529,0.223003655950309,-4.61344531929034,"ILMN_1651259"
-0.0222424594146158,4.38139122504167,-1.10017872879574,0.274072941794473,0.521300394877003,-5.69871873402504,"ILMN_1651260"
0.348592436764009,10.9071286101042,2.25631061170093,0.026376414872143,0.128363953207983,-3.86789966761783,"ILMN_1651262"
-0.0344627394516977,4.91135593335417,-0.459349960494885,0.647046881248237,0.822928773722722,-6.18277819074961,"ILMN_1651268"
-0.391390148312248,8.42609160115625,-1.5791999573946,0.117660550489933,0.319690545492053,-5.08473715423196,"ILMN_1651278"
-0.0505748971152792,4.76312132296875,-0.605247926494717,0.546477504646942,0.756765720083319,-6.1071982620887,"ILMN_1651279"
0.00859241970174784,4.43668362964583,0.245954436729836,0.806255507478474,0.911520602522906,-6.25613912335835,"ILMN_1651281"
0.641870510703752,10.7384849361146,1.58242527981428,0.116922467439124,0.318434733346092,-5.079893076577,"ILMN_1651282"
-0.108670936585394,5.10741006167708,-1.25245622268396,0.213520902801884,0.451716647292841,-5.52647981621419,"ILMN_1651285"
0.0327966741485631,4.45029490911458,1.29414776900732,0.198795235867082,0.433285240912679,-5.47556384670682,"ILMN_1651286"
-0.0601248594411286,4.98727655053125,-0.845704734948311,0.399872138714819,0.642102047699638,-5.93789739010828,"ILMN_1651288"
0.234244817060953,4.65629379976042,3.12570505145178,0.00236211531172997,0.0273373399112246,-1.75693682599733,"ILMN_1651292"
0.127599774228261,7.34259272814583,0.7025334177234,0.484088375727009,0.710826430573701,-6.04538520820497,"ILMN_1651296"
-0.0174803852821294,4.65188560282292,-0.274177829588737,0.784551550468896,0.900471320677149,-6.24897849661309,"ILMN_1651303"
-0.0299607904260694,4.37256938738542,-1.52271633069743,0.131197824148886,0.340668018227585,-5.16805032927063,"ILMN_1651309"
0.0684597065718396,4.45450227898958,2.48908877788624,0.0145713936861953,0.0879767878810694,-3.36034440697048,"ILMN_1651310"
-0.0549261047081921,9.141012845625,-0.511169364906243,0.6104349632774,0.798154719619163,-6.15829211568941,"ILMN_1651315"
0.302501905242062,8.91313474369792,1.03903133228987,0.301464147264504,0.549525967839334,-5.76177508577572,"ILMN_1651316"
0.0155799405153314,4.445941686375,0.517834440628208,0.605794379270346,0.794759373569466,-6.15495394895622,"ILMN_1651325"
0.358564815035638,6.38721138013542,1.76221052104321,0.0812951267446906,0.256903457959198,-4.79518126791997,"ILMN_1651328"
-0.176970998853175,4.755796831875,-3.23853535053507,0.00166262946777835,0.0217229746835104,-1.44176259153917,"ILMN_1651329"
0.00363843724591377,4.35888841810417,0.201746804475901,0.840552054090529,0.928370313579347,-6.26579509836999,"ILMN_1651330"
0.0801320412228354,5.06215177205208,0.774621372626477,0.440513899264517,0.676217699977122,-5.99371640484625,"ILMN_1651336"
0.0911065319093597,5.15534143338542,0.552797783384233,0.581718404362936,0.77914182859145,-6.13673877264748,"ILMN_1651339"
-0.0196045327671647,5.13476610192708,-0.194307088910612,0.846356117910747,0.931379451849645,-6.26723282283724,"ILMN_1651341"
-0.0370990836093969,5.200485069875,-0.391229405656117,0.696515966735368,0.852315821315314,-6.21100582063944,"ILMN_1651343"
-0.326764238941753,6.05773812923958,-1.65491863359723,0.101287195584544,0.292340446245877,-4.96855516184298,"ILMN_1651346"
-0.150530572735108,10.9309716972187,-0.927884179624298,0.355851872528865,0.601660086713888,-5.86736196333048,"ILMN_1651347"
0.0295294396825314,4.43259406676042,0.988515787729977,0.325446098090257,0.573250653650182,-5.81121140500324,"ILMN_1651351"
0.0579242148578636,4.84976843392708,0.3700808333504,0.7121575185942,0.861123452249253,-6.21885277719525,"ILMN_1651354"
-0.154834002636836,4.71778047336458,-0.871963250171932,0.385457431041451,0.629217040675219,-5.91605803787842,"ILMN_1651358"
0.0064215588945589,5.92412599645833,0.0494020861673015,0.960704027506999,0.982928603414129,-6.28446785002584,"ILMN_1651364"
-0.0180708485578906,4.36089412340625,-0.569141146785337,0.570622251335298,0.772108435338871,-6.12781892294303,"ILMN_1651365"
-0.0381211663738438,4.46388668005208,-1.23016636138238,0.221714619558159,0.461906270805669,-5.55304075767329,"ILMN_1651369"
0.0679656981668241,4.52463597576042,1.72842701163651,0.0872059039709218,0.268081394934126,-4.85087242707353,"ILMN_1651370"
-0.024839688435329,4.84980882761458,-0.115689048745109,0.908146579654121,0.959998779670622,-6.27912630396503,"ILMN_1651373"
0.193751389107743,8.53318711619792,2.71152313798219,0.0079677895179186,0.0596898495687521,-2.83501510382952,"ILMN_1651378"
0.140300560111451,4.63168930596875,3.21775605143454,0.00177481190262246,0.0226444352954232,-1.50047437047472,"ILMN_1651380"
0.0145725334305358,8.00534724427083,0.111199889109342,0.911695708000892,0.961108843611633,-6.27962343364715,"ILMN_1651385"
-0.0029098007818881,4.45785373588542,-0.0675594339212673,0.946280313311454,0.977059213307766,-6.28343120121168,"ILMN_1651388"
0.0362387743963424,4.50407205523958,1.06200466513599,0.290963334039023,0.539476418304439,-5.73849683162217,"ILMN_1651395"
0.0426218574808379,4.44557625434375,1.29047617734746,0.200060969534815,0.435046652940724,-5.48011234952633,"ILMN_1651396"
-0.588276206879097,5.52474197496875,-2.71309402234276,0.00793290304698617,0.0594754073023648,-2.83116847217581,"ILMN_1651403"
-0.015212497777157,4.63790808845833,-0.208390881961523,0.835376128300758,0.925310414480509,-6.26446551423358,"ILMN_1651404"
-0.13764798011465,9.554846978125,-1.68979436543478,0.0943922312215789,0.281133083145495,-4.91331956906624,"ILMN_1651405"
-0.128235035126595,4.78347108391667,-1.58184465504221,0.117055064328631,0.318610602649414,-5.08076580099393,"ILMN_1651408"
-0.00653614464048901,4.97102179241667,-0.0720116618223996,0.942746126384224,0.975262795923292,-6.28312788017154,"ILMN_1651415"
0.0090421931242063,4.47931461420833,0.253620473246479,0.800344487122407,0.907931676249984,-6.2542709141628,"ILMN_1651428"
-0.392863152725367,5.18305446971875,-1.71859087846583,0.0889916235693513,0.271437357536088,-4.86689740818451,"ILMN_1651429"
0.0440094078005539,4.41475227548958,1.68043724738414,0.0962035196448555,0.284259120534016,-4.92824546578987,"ILMN_1651430"
-0.110647964319727,8.469868616125,-0.73200913388791,0.465990101492761,0.696527150124508,-6.02486080829621,"ILMN_1651433"
0.0201471251643829,4.47485269192708,0.630577731708917,0.529851763054704,0.744835514911205,-6.09198175750689,"ILMN_1651435"
-0.137253474097323,4.59853008054167,-3.79166600976804,0.00026475016674501,0.00674678090515569,0.226756763417446,"ILMN_1651437"
0.286473960677704,7.13239569296875,1.60180161860797,0.112565839659059,0.311535951236076,-5.05059525156727,"ILMN_1651438"
0.0309388886097622,4.47167313390625,1.18829257441215,0.237721540935535,0.48097299515413,-5.60168998594511,"ILMN_1651447"
0.046450322700866,4.47741175073958,1.60889175168388,0.111004545830823,0.308994755293908,-5.03979047846905,"ILMN_1651453"
-0.00368521396615948,4.38685667488542,-0.187752154970261,0.851476962568616,0.934039042643362,-6.26845483951671,"ILMN_1651456"
0.0187695180834398,4.46275099778125,0.559526796296375,0.577137409963294,0.776479037120969,-6.13309747904986,"ILMN_1651457"
