"gene_id","WT_1","WT_2","IR1_1","IR1_2","IR2_1","IR2_2"
"ENSG00000228729.1",57,42,61,57,61,54
"ENSG00000236636.2",40,20,27,52,23,42
"ENSG00000181450.13",272,236,460,595,508,432
"ENSG00000225934.2",6,5,8,12,12,10
"ENSG00000143740.10",877,686,756,955,752,451
"ENSG00000081692.8",265,230,270,327,309,151
"ENSG00000230005.2",25,17,23,14,13,8
"ENSG00000185888.5",2,12,32,44,34,51
"ENSG00000143816.7",13,18,46,72,111,123
"ENSG00000154342.4",15,10,9,22,19,7
"ENSG00000143761.9",12968,11356,9351,12482,10459,5083
"ENSG00000143793.8",645,521,355,507,432,279
"ENSG00000162910.14",526,547,413,556,499,265
"ENSG00000224566.2",8,11,10,15,6,11
"ENSG00000143774.12",5442,4937,1916,2446,2323,1360
"ENSG00000198835.3",29,23,14,28,20,23
"ENSG00000203684.5",15,20,11,12,9,11
"ENSG00000181873.8",519,451,445,469,489,342
"ENSG00000162913.9",15,14,24,31,27,47
"ENSG00000154358.15",4312,3669,5376,6239,5340,6140
"ENSG00000269890.1",36,29,44,80,42,90
"ENSG00000269934.1",47,31,20,17,22,40
"ENSG00000270110.1",5,4,13,13,36,32
"ENSG00000154370.9",2045,1727,1284,1591,1648,1279
"ENSG00000231563.1",31,28,23,23,45,24
"ENSG00000162931.7",202,172,184,211,259,286
"ENSG00000168148.3",28,23,28,31,38,37
"ENSG00000181218.4",2419,2264,1845,2318,2306,732
"ENSG00000196890.3",449,455,299,432,399,218
"ENSG00000168159.9",3178,2935,2983,4203,3789,2388
"ENSG00000215811.3",20,31,9,15,41,24
"ENSG00000177788.5",30,24,76,78,102,53
"ENSG00000168118.7",330,314,491,565,393,260
"ENSG00000237481.1",16,13,17,27,14,21
"ENSG00000154429.6",2717,2276,2464,3115,1908,1535
"ENSG00000143632.10",8,10,12,7,8,6
"ENSG00000226920.1",19,17,16,19,25,18
"ENSG00000069248.9",2703,2476,2211,2688,2020,899
"ENSG00000223635.1",12,10,8,4,3,2
"ENSG00000135776.4",3108,2910,1113,1206,1398,850
"ENSG00000135801.5",538,511,467,610,539,309
"ENSG00000135763.5",679,563,633,762,770,456
"ENSG00000143641.8",4818,4211,1814,2734,2596,1302
"ENSG00000227006.1",43,57,23,31,39,16
"ENSG00000177614.5",10,9,4,24,38,16
"ENSG00000135775.9",684,599,627,701,632,395
"ENSG00000135744.7",6,8,2,21,17,5
"ENSG00000135773.8",16,11,12,18,22,7
"ENSG00000119280.12",510,499,747,958,897,548
"ENSG00000143643.8",562,482,714,876,810,723
"ENSG00000173409.9",567,513,951,1218,1118,570
"ENSG00000182118.5",549,456,1825,2472,2006,1047
"ENSG00000227934.1",11,10,51,47,45,44
"ENSG00000119283.11",34,44,178,280,996,728
"ENSG00000235710.3",0,1,3,1,32,31
"ENSG00000143633.8",362,322,340,398,330,165
"ENSG00000116906.7",1190,1084,1027,1309,1077,590
"ENSG00000116903.6",361,315,340,451,344,292
"ENSG00000010072.11",462,346,320,458,336,195
"ENSG00000135766.8",2756,2508,2354,2774,2774,1824
"ENSG00000233461.1",56,34,65,97,83,23
"ENSG00000116918.9",584,519,720,803,523,371
"ENSG00000162946.16",17,12,23,32,25,15
"ENSG00000116991.6",29,24,24,42,38,17
"ENSG00000212916.3",20,23,19,44,46,35
"ENSG00000135778.7",546,507,540,651,445,276
"ENSG00000135749.14",37,46,29,68,107,61
"ENSG00000143674.6",75,48,87,118,350,282
"ENSG00000135750.10",615,560,300,380,560,352
"ENSG00000183780.8",54,41,23,51,367,289
"ENSG00000234453.1",2,4,0,1,26,33
"ENSG00000236101.1",0,0,4,0,27,28
"ENSG00000233332.1",4,3,0,5,30,22
"ENSG00000236244.1",4,0,0,4,17,21
"ENSG00000231663.1",59,38,58,53,65,56
"ENSG00000168275.10",530,451,433,491,444,245
"ENSG00000059588.5",1620,1531,1159,1297,605,584
"ENSG00000168264.6",2861,2465,3010,3949,2426,2600
"ENSG00000230628.1",0,3,13,18,8,10
"ENSG00000227630.2",22,25,8,14,8,1
"ENSG00000173726.6",6695,6393,5144,6692,5135,1917
"ENSG00000207181.1",63,50,57,49,56,51
"ENSG00000188739.10",64,52,36,60,65,28
"ENSG00000054267.16",2076,1713,1749,1931,1945,1733
"ENSG00000232686.1",11,4,5,9,10,4
"ENSG00000236863.2",40,23,35,22,26,15
"ENSG00000234086.2",45,21,19,23,23,32
"ENSG00000152904.7",807,733,968,1104,1010,606
"ENSG00000227962.1",14,2,7,9,3,16
"ENSG00000116957.8",983,835,823,907,779,558
"ENSG00000243533.2",15,16,8,7,7,10
"ENSG00000229795.2",10,9,4,7,17,0
"ENSG00000162885.8",651,615,467,623,502,433
"ENSG00000168243.6",8,6,9,10,10,10
"ENSG00000143669.9",136,137,232,386,591,477
"ENSG00000116962.10",25,13,15,34,70,22
"ENSG00000077585.9",35,36,27,48,18,20
"ENSG00000086619.9",172,131,580,680,146,100
"ENSG00000186197.8",49,42,184,254,39,20
"ENSG00000116977.14",1110,966,1542,2088,1605,944
"ENSG00000223776.4",21,16,12,26,11,9
"ENSG00000273058.1",17,10,22,26,13,16
"ENSG00000230325.1",5,5,5,10,21,6
"ENSG00000119285.6",3157,2857,3259,3866,2940,1616
"ENSG00000077522.8",26,22,17,37,60,30
"ENSG00000116984.8",4359,3850,3736,4460,3927,2526
"ENSG00000226498.2",28,17,20,27,22,30
"ENSG00000237991.2",11,5,8,16,9,4
"ENSG00000198626.11",57,64,41,154,104,61
"ENSG00000116996.5",11,10,8,30,35,11
"ENSG00000133019.7",15,10,11,15,33,11
"ENSG00000155816.15",30,25,19,38,28,15
"ENSG00000228818.1",7,4,6,17,13,2
"ENSG00000182901.11",7,13,7,20,21,8
"ENSG00000225554.1",0,1,8,8,10,15
"ENSG00000091483.6",3058,2797,2371,3230,2727,935
"ENSG00000117009.7",14,13,5,19,21,14
"ENSG00000054277.8",1114,1098,534,659,554,341
"ENSG00000203668.1",5131,4747,2487,2746,2252,1874
"ENSG00000162843.13",22,19,27,49,37,34
"ENSG00000174371.12",2020,1829,1539,1879,1599,1034
"ENSG00000196289.5",10,5,4,12,11,5
"ENSG00000180287.12",12,9,5,10,19,6
"ENSG00000253326.2",27,17,16,23,19,37
"ENSG00000214837.4",117,99,124,114,147,165
"ENSG00000143702.11",3161,2888,2816,3338,2448,1994
"ENSG00000054282.11",700,592,564,736,561,448
"ENSG00000224727.1",19,21,25,24,16,21
"ENSG00000117020.12",22,24,47,63,88,59
"ENSG00000179456.9",152,144,124,137,111,83
"ENSG00000173728.6",14,13,17,27,9,8
"ENSG00000225401.2",8,8,8,6,10,10
"ENSG00000035687.9",1095,949,994,1215,920,405
"ENSG00000179397.13",32,12,9,32,22,11
"ENSG00000121644.14",855,844,1002,1170,915,598
"ENSG00000232059.2",13,8,14,7,12,13
"ENSG00000203667.5",139,122,74,111,111,140
"ENSG00000188206.5",444,422,355,383,357,320
"ENSG00000153187.12",12440,11723,11289,12615,11403,9561
"ENSG00000273175.1",18,15,8,12,5,7
"ENSG00000272195.1",59,43,21,40,41,17
"ENSG00000203666.8",147,158,192,224,164,126
"ENSG00000162849.11",119,72,160,199,143,110
"ENSG00000185420.14",1833,1537,1898,2349,1257,782
"ENSG00000235096.1",67,50,50,46,38,17
"ENSG00000226876.2",122,106,82,119,60,55
"ENSG00000225222.2",59,52,43,39,36,22
"ENSG00000230184.1",47,26,44,49,32,25
"ENSG00000162851.6",547,469,561,719,608,279
"ENSG00000162852.9",1807,1560,1568,1893,1642,1094
"ENSG00000225300.1",73,58,47,59,49,67
"ENSG00000228955.2",20,21,18,19,18,26
"ENSG00000143653.9",996,850,763,921,722,295
"ENSG00000223519.3",29,21,28,35,25,21
"ENSG00000260855.1",45,17,31,55,22,28
"ENSG00000227953.2",8,3,12,14,24,14
"ENSG00000153207.10",4271,3822,3684,4096,3263,2403
"ENSG00000135747.7",147,144,271,311,287,174
"ENSG00000197472.10",214,211,247,248,242,135
"ENSG00000215796.3",9,5,16,20,10,2
"ENSG00000188295.10",146,146,176,231,196,125
"ENSG00000221953.2",37,28,28,38,46,42
"ENSG00000196418.8",719,703,795,955,924,644
"ENSG00000215795.2",9,16,5,13,4,22
"ENSG00000259865.1",59,40,39,60,59,59
"ENSG00000227671.3",587,490,547,603,589,486
"ENSG00000252516.1",13,23,11,6,21,8
"ENSG00000162714.8",3647,3256,3060,4045,2845,2247
"ENSG00000162711.12",21,12,9,43,43,13
"ENSG00000177535.6",4,4,4,10,13,8
"ENSG00000169224.8",4,2,16,13,16,14
"ENSG00000162722.8",998,958,794,1006,748,464
"ENSG00000238243.2",109,70,113,150,73,41
"ENSG00000197067.4",15,10,4,12,12,3
"ENSG00000162727.3",12,3,2,11,6,3
"ENSG00000228198.1",3,7,6,12,12,3
"ENSG00000177212.2",10,17,1,18,17,8
"ENSG00000177201.1",18,11,5,10,15,7
"ENSG00000177186.2",8,17,5,11,11,7
"ENSG00000196944.3",14,13,6,13,12,6
"ENSG00000196240.2",19,7,7,13,14,5
"ENSG00000229703.2",0,0,14,6,16,9
"ENSG00000232694.2",1,0,8,13,14,9
"ENSG00000175137.9",983,812,838,1074,891,654
"ENSG00000171161.8",1480,1282,2102,2753,3160,2067
"ENSG00000171163.11",2278,2030,2473,2965,2482,2577
"ENSG00000185220.7",215,197,310,357,408,287
"ENSG00000233084.2",14,5,17,20,41,18
"ENSG00000184731.5",5,8,3,18,9,12
"ENSG00000035115.17",221,164,251,223,374,314
"ENSG00000143727.11",1768,1686,1572,2094,1663,731
"ENSG00000189292.11",10,13,9,33,14,15
"ENSG00000151353.10",429,407,257,346,325,164
"ENSG00000172554.7",17,11,8,10,14,18
"ENSG00000115705.16",37,26,20,61,47,28
"ENSG00000130508.6",22,23,18,26,25,23
"ENSG00000186487.13",21,20,22,36,35,29
"ENSG00000032389.8",804,684,624,784,649,366
"ENSG00000224885.1",26,21,17,27,25,21
"ENSG00000171853.11",1715,1421,1411,1759,1533,1341
"ENSG00000225234.1",18,11,24,24,31,29
"ENSG00000182551.9",383,356,444,610,506,230
"ENSG00000235078.1",17,13,15,20,11,4
"ENSG00000242282.2",90,64,66,100,87,46
"ENSG00000171865.5",426,434,401,476,449,253
"ENSG00000234171.1",42,46,35,76,65,23
"ENSG00000171863.8",9811,9812,9501,10823,8439,3425
"ENSG00000118004.13",58,52,67,72,87,58
"ENSG00000151360.5",4,3,10,12,13,2
"ENSG00000176887.5",5,12,9,21,15,5
"ENSG00000134326.7",191,189,120,148,88,38
"ENSG00000134321.7",26,30,10,26,15,13
"ENSG00000228203.2",20,20,10,6,2,2
"ENSG00000151692.10",846,765,429,521,206,130
"ENSG00000236008.1",57,54,25,42,34,21
"ENSG00000235092.1",30,25,9,3,11,19
"ENSG00000115738.5",1318,1218,220,320,454,338
"ENSG00000134313.10",3192,2767,2365,3212,2731,1894
"ENSG00000143797.7",1029,845,1112,1429,1455,986
"ENSG00000238888.1",8,8,11,2,6,13
"ENSG00000151693.5",773,717,1043,1252,847,756
"ENSG00000119185.8",584,412,455,655,515,300
"ENSG00000119203.9",1176,1083,1179,1468,1190,561
"ENSG00000134330.14",47,51,40,56,60,77
"ENSG00000151694.8",1139,945,977,1401,1132,750
"ENSG00000239300.1",21,37,23,30,23,18
"ENSG00000271855.1",17,17,22,41,23,15
"ENSG00000134308.9",3887,3608,2994,3627,2935,1213
"ENSG00000115750.12",304,275,290,343,315,118
"ENSG00000269973.1",29,27,32,48,45,23
"ENSG00000134317.13",262,227,97,137,154,130
"ENSG00000260077.1",59,47,47,64,55,33
"ENSG00000172059.6",704,549,394,596,377,277
"ENSG00000205795.4",7,11,10,16,12,13
"ENSG00000272524.1",25,14,23,29,33,18
"ENSG00000171848.9",2622,2287,2041,2619,2595,1270
"ENSG00000163009.4",144,105,86,89,120,116
"ENSG00000115756.8",1893,1548,1564,1974,1961,1319
"ENSG00000115758.8",2605,2521,2621,3614,3371,1280
"ENSG00000206633.1",27,20,45,31,46,26
"ENSG00000257135.1",36,31,16,41,34,20
"ENSG00000115761.11",735,605,603,730,698,419
"ENSG00000143882.5",71,85,61,66,51,45
"ENSG00000143870.8",4301,3798,2844,4429,3547,1330
"ENSG00000162976.8",179,168,101,155,116,47
"ENSG00000134318.9",2172,1872,2507,2823,2111,1738
"ENSG00000230154.1",9,18,11,9,4,8
"ENSG00000169016.12",434,348,401,491,451,261
"ENSG00000196208.9",44,41,37,115,91,22
"ENSG00000239899.2",49,72,89,69,115,10
"ENSG00000169006.6",7,3,2,17,10,10
"ENSG00000134324.7",2426,2131,2775,3300,2866,2076
"ENSG00000228496.1",1,1,35,24,16,4
"ENSG00000224184.1",34,20,104,146,55,69
"ENSG00000071575.7",1766,1700,2326,2923,1171,849
"ENSG00000162981.12",37,51,9,25,7,7
"ENSG00000151779.8",8685,7767,5445,6953,7231,4162
"ENSG00000079785.10",3364,3061,3120,3725,3304,1423
"ENSG00000231031.2",0,5,13,24,63,48
"ENSG00000197872.7",46,50,172,178,240,134
"ENSG00000214842.5",10,5,10,35,13,7
"ENSG00000163032.7",11,10,9,8,20,12
"ENSG00000163029.11",2272,2033,1941,2108,1745,1259
"ENSG00000178295.10",431,310,455,506,495,454
"ENSG00000170745.7",9,10,8,29,14,5
"ENSG00000240857.1",221,171,219,248,163,102
"ENSG00000236204.1",21,34,95,91,61,63
"ENSG00000228784.3",48,23,18,26,43,35
"ENSG00000183891.5",411,405,312,415,291,187
"ENSG00000271991.1",5,8,7,12,15,0
"ENSG00000118965.10",281,212,297,410,311,187
"ENSG00000132031.8",6,5,7,12,22,1
"ENSG00000068697.6",720,655,668,1050,974,285
"ENSG00000115884.6",59,65,16,34,90,67
"ENSG00000055917.11",2830,2591,2176,2576,2289,1409
"ENSG00000143878.8",84,69,443,697,501,362
"ENSG00000118960.8",416,382,411,548,425,290
"ENSG00000231948.2",1,1,14,17,14,3
"ENSG00000143869.5",13,8,2,19,19,5
"ENSG00000118961.10",667,658,659,741,586,349
"ENSG00000084674.9",37,50,30,101,68,47
"ENSG00000119771.10",27,31,33,48,73,56
"ENSG00000119778.10",1556,1377,1143,1345,1209,1044
"ENSG00000224464.2",21,12,10,14,10,22
"ENSG00000173960.8",692,650,526,671,599,517
"ENSG00000234946.1",41,16,12,11,22,12
"ENSG00000205639.5",908,835,368,438,628,523
"ENSG00000163026.7",316,254,337,430,326,222
"ENSG00000119782.9",30,23,15,41,25,12
"ENSG00000115128.6",1287,1159,1177,1398,1179,319
"ENSG00000219626.4",126,96,152,207,175,222
"ENSG00000115129.9",130,107,117,191,141,113
"ENSG00000176732.6",16,14,8,27,20,9
"ENSG00000198399.10",765,709,874,1077,817,688
"ENSG00000084676.11",1993,1763,1620,1883,1754,1558
"ENSG00000202430.1",12,5,3,12,1,5
"ENSG00000184924.5",319,244,254,287,248,53
"ENSG00000138092.6",961,847,844,1097,916,611
"ENSG00000138031.10",958,827,757,1015,731,652
"ENSG00000271936.1",97,97,84,91,91,76
"ENSG00000115137.7",95,86,78,91,90,78
"ENSG00000224165.1",29,29,15,21,23,6
"ENSG00000084710.9",21,29,17,41,48,11
"ENSG00000115138.6",2,3,3,18,10,3
"ENSG00000119772.12",926,787,230,331,518,375
"ENSG00000138101.14",31,26,16,48,32,18
"ENSG00000143970.12",1572,1410,1553,2027,1850,1596
"ENSG00000187536.4",19,14,24,19,27,29
"ENSG00000217643.1",12,7,8,6,6,12
"ENSG00000218682.1",13,12,10,7,10,15
"ENSG00000084731.9",606,542,640,806,747,560
"ENSG00000084733.6",2801,2676,3184,4222,3431,1546
"ENSG00000199872.1",14,10,21,6,20,19
"ENSG00000235440.1",27,30,21,16,24,19
"ENSG00000157833.8",347,304,432,451,525,296
"ENSG00000084754.6",8165,7280,6826,8408,7121,3283
"ENSG00000138029.9",1583,1423,1460,2099,1725,718
"ENSG00000173567.10",100,92,71,77,105,69
"ENSG00000138018.13",1518,1467,1021,1376,1092,684
"ENSG00000157856.6",32,9,15,23,28,9
"ENSG00000115155.12",43,45,63,94,120,71
"ENSG00000171303.5",7,1,12,9,11,3
"ENSG00000213699.4",527,498,352,471,535,332
"ENSG00000115163.10",756,705,497,601,445,261
"ENSG00000157851.12",14,5,20,54,38,24
"ENSG00000084764.6",2007,1639,1772,2079,1913,1539
"ENSG00000205500.4",122,101,154,127,121,147
"ENSG00000119777.14",3119,2765,2651,3480,2998,2043
"ENSG00000084693.11",1468,1259,1078,1407,1227,699
"ENSG00000231636.1",9,4,3,17,2,19
"ENSG00000272056.1",7,5,9,12,14,13
"ENSG00000229122.1",11,4,9,17,8,22
"ENSG00000228474.1",1050,1013,951,1314,1097,266
"ENSG00000138080.9",108,87,228,186,135,86
"ENSG00000138030.8",151,99,202,251,160,91
"ENSG00000138028.10",20,21,38,63,67,63
"ENSG00000143994.9",56,37,65,56,54,50
"ENSG00000138073.9",1107,997,1248,1598,1128,675
"ENSG00000186143.6",7,12,13,21,19,3
"ENSG00000138074.10",988,886,934,1399,1135,558
"ENSG00000138085.12",624,625,463,706,497,143
"ENSG00000084774.9",4859,4395,5046,6482,5304,3040
"ENSG00000115194.6",79,49,53,81,98,70
"ENSG00000163793.8",10,2,2,10,7,3
"ENSG00000138100.9",14,11,16,23,19,10
"ENSG00000163794.6",43,37,48,54,67,57
"ENSG00000115204.10",893,786,851,1039,894,473
"ENSG00000115207.9",1541,1306,1296,1740,1218,761
"ENSG00000234945.3",46,40,38,56,38,30
"ENSG00000234072.1",379,305,370,425,437,346
"ENSG00000115211.11",815,669,824,1090,798,518
"ENSG00000115234.6",1054,957,871,1094,929,446
"ENSG00000163795.9",265,269,241,300,301,267
"ENSG00000115241.9",4026,3761,3025,4121,3323,1924
"ENSG00000213453.3",30,33,23,37,29,49
"ENSG00000115216.9",1138,1114,988,1192,1042,660
"ENSG00000157992.8",34,24,35,53,33,29
"ENSG00000138002.10",1003,780,1114,1370,1289,1148
"ENSG00000115226.5",225,175,287,357,315,170
"ENSG00000084734.4",28,32,29,41,78,45
"ENSG00000221843.2",97,85,145,199,211,135
"ENSG00000243943.5",1068,872,841,1054,905,607
"ENSG00000176714.9",105,55,98,87,94,73
"ENSG00000198522.9",539,428,413,464,401,149
"ENSG00000119760.11",1074,944,959,1139,1042,715
"ENSG00000163798.9",856,777,849,894,766,547
"ENSG00000243147.3",265,268,274,344,317,127
"ENSG00000171174.9",17,29,20,32,29,15
"ENSG00000158019.16",314,259,311,343,305,175
"ENSG00000223522.1",39,33,34,36,39,41
"ENSG00000075426.7",101,72,57,51,129,109
"ENSG00000163803.8",33,35,32,45,71,54
"ENSG00000213639.5",1548,1452,1592,1939,1626,718
"ENSG00000163806.11",35,34,25,31,33,33
"ENSG00000171103.6",219,178,216,245,242,169
"ENSG00000163811.7",1823,1653,1859,2310,1902,1115
"ENSG00000265706.1",12,16,6,14,8,1
"ENSG00000189350.8",25,27,16,38,38,20
"ENSG00000179270.6",27,18,13,40,29,9
"ENSG00000115295.15",24,12,12,25,52,40
"ENSG00000171094.11",37,27,15,55,55,17
"ENSG00000119801.8",770,756,722,903,730,343
"ENSG00000213626.7",1300,1308,323,375,543,196
"ENSG00000172954.9",506,459,457,666,551,357
"ENSG00000162949.12",9,20,12,29,35,14
"ENSG00000158089.10",12,9,21,44,59,41
"ENSG00000214711.5",15,11,5,20,12,7
"ENSG00000013016.10",10,10,12,26,34,19
"ENSG00000158125.5",32,27,25,69,48,23
"ENSG00000049319.2",5,3,2,13,11,6
"ENSG00000273165.1",15,8,7,2,13,15
"ENSG00000162959.9",243,266,200,208,177,170
"ENSG00000162961.9",687,580,555,687,502,211
"ENSG00000021574.7",708,597,601,638,491,343
"ENSG00000272716.1",83,60,65,68,47,35
"ENSG00000152683.10",864,747,722,838,712,384
"ENSG00000229816.1",204,159,192,155,163,195
"ENSG00000091106.14",20,19,24,45,34,20
"ENSG00000119820.6",1061,965,964,1218,1020,652
"ENSG00000272754.1",6,3,7,12,4,11
"ENSG00000115760.9",8343,7262,7536,8711,7500,5932
"ENSG00000018699.7",886,810,877,1083,924,376
"ENSG00000049323.11",2667,2289,1601,2395,4415,2697
"ENSG00000223951.1",9,6,5,8,16,16
"ENSG00000152689.13",22,9,45,65,274,191
"ENSG00000119812.14",486,391,578,754,657,301
"ENSG00000203386.2",0,1,17,19,23,18
"ENSG00000239649.2",3,8,5,20,30,23
"ENSG00000150938.5",77,56,27,59,84,76
"ENSG00000171055.10",425,423,367,421,413,271
"ENSG00000256845.1",18,18,11,10,8,9
"ENSG00000205221.8",8,9,9,30,27,12
"ENSG00000115808.7",1429,1243,1510,1778,1409,1022
"ENSG00000008869.7",1055,979,995,1193,1029,601
"ENSG00000152133.10",402,298,358,492,390,264
"ENSG00000055332.12",974,881,1048,1183,940,718
"ENSG00000138068.6",10,7,2,12,5,5
"ENSG00000218739.5",591,524,601,655,494,371
"ENSG00000115816.9",972,912,1090,1117,1004,628
"ENSG00000272054.1",55,38,40,40,48,45
"ENSG00000003509.11",340,359,330,321,305,197
"ENSG00000115825.5",816,690,602,732,606,412
"ENSG00000236213.1",28,16,47,61,115,127
"ENSG00000163171.6",81,77,290,385,454,461
"ENSG00000237803.1",1,2,6,6,19,17
"ENSG00000115841.15",26,28,53,88,94,52
"ENSG00000138061.7",10,5,3,21,19,11
"ENSG00000232973.7",0,4,1,12,14,4
"ENSG00000119787.9",1163,1141,1148,1326,1017,642
"ENSG00000231367.1",33,20,20,18,18,12
"ENSG00000213553.3",409,352,249,430,370,36
"ENSG00000143889.11",2335,2161,2182,2923,3019,1811
"ENSG00000235586.1",147,87,101,103,209,132
"ENSG00000143891.12",990,793,939,1084,1237,756
"ENSG00000232518.1",17,8,11,11,11,13
"ENSG00000115875.14",2799,2348,2463,2986,2631,1821
"ENSG00000152147.6",154,108,147,134,126,87
"ENSG00000163214.16",616,570,551,633,574,391
"ENSG00000188010.8",72,44,67,74,73,24
"ENSG00000214694.6",18,12,11,23,23,13
"ENSG00000115904.8",1155,1075,956,1132,888,807
"ENSG00000229692.3",46,57,32,46,43,41
"ENSG00000225900.1",18,13,15,2,11,17
"ENSG00000205111.4",10,5,4,15,10,3
"ENSG00000011566.10",866,702,628,695,562,358
"ENSG00000252473.1",22,11,7,6,6,7
"ENSG00000231312.2",188,172,111,136,75,38
"ENSG00000152154.6",13,9,10,24,8,6
"ENSG00000138050.10",483,349,444,492,420,252
"ENSG00000183023.14",9,18,7,28,32,11
"ENSG00000162878.8",117,102,363,391,491,435
"ENSG00000224875.2",18,26,24,17,17,18
"ENSG00000143924.14",1058,968,1187,1487,1096,706
"ENSG00000115944.10",1671,1524,1333,1540,1285,439
"ENSG00000057935.9",581,512,432,499,446,270
"ENSG00000115970.14",955,858,963,1122,807,516
"ENSG00000152518.5",2870,2742,1891,2282,1398,1408
"ENSG00000234936.1",11,10,2,4,7,2
"ENSG00000152527.9",910,831,284,299,180,157
"ENSG00000223658.5",24,18,13,11,15,7
"ENSG00000229695.1",22,10,9,4,2,3
"ENSG00000138036.14",328,245,268,236,163,117
"ENSG00000138075.7",19,14,8,17,18,5
"ENSG00000143921.6",22,8,8,22,30,10
"ENSG00000138095.14",7826,7318,6369,7560,6368,2719
"ENSG00000200924.1",10,1,10,4,0,7
"ENSG00000138032.16",601,699,720,738,721,458
"ENSG00000138079.9",29,17,32,31,44,23
"ENSG00000138078.11",1082,1118,1463,1697,1423,927
"ENSG00000143919.10",178,169,192,228,156,101
"ENSG00000205054.2",2,9,1,11,17,19
"ENSG00000068784.8",741,610,657,685,606,469
"ENSG00000171132.9",50,36,35,62,76,40
"ENSG00000116016.9",658,547,731,885,773,635
"ENSG00000228100.1",56,36,42,60,77,53
"ENSG00000187600.8",166,135,115,170,134,108
"ENSG00000241791.2",10,9,12,16,15,6
"ENSG00000250565.2",179,131,160,213,175,153
"ENSG00000119729.6",303,293,376,422,338,230
"ENSG00000250116.2",49,44,57,60,28,73
"ENSG00000151665.8",167,151,166,168,142,85
"ENSG00000119878.5",224,208,238,296,227,98
"ENSG00000171150.7",300,352,277,353,316,241
"ENSG00000260977.1",8,6,6,14,12,11
"ENSG00000228925.1",27,18,24,25,30,21
"ENSG00000180398.7",2027,1955,1674,2330,2225,1014
"ENSG00000068724.11",981,862,457,629,436,347
"ENSG00000239605.4",5,15,12,9,3,8
"ENSG00000143933.12",2429,2244,2139,2825,2088,831
"ENSG00000236824.1",411,464,409,342,307,244
"ENSG00000119888.6",1585,1460,950,1281,441,191
"ENSG00000095002.8",3459,3067,2501,2925,2124,1272
"ENSG00000236558.2",13,15,20,15,11,12
"ENSG00000184261.4",43,24,79,86,75,90
"ENSG00000235760.3",8,2,20,8,23,11
"ENSG00000230979.3",25,17,10,25,30,4
"ENSG00000116062.10",3857,3531,2987,3742,2948,1519
"ENSG00000138081.15",1248,1095,1178,1272,1196,1054
"ENSG00000235369.1",14,10,6,12,12,15
"ENSG00000236549.1",24,35,26,13,17,24
"ENSG00000233230.1",64,73,30,68,56,49
"ENSG00000170802.11",804,731,669,803,641,406
"ENSG00000162869.11",263,230,306,340,319,363
"ENSG00000243244.1",70,64,85,94,114,77
"ENSG00000138039.10",6,13,20,7,19,7
"ENSG00000170820.7",12,2,4,21,17,8
"ENSG00000179915.16",30,25,17,57,51,21
"ENSG00000223710.1",4,4,11,11,13,11
"ENSG00000115239.17",110,78,66,90,74,67
"ENSG00000270898.1",12,10,8,12,11,11
"ENSG00000143942.4",48,48,39,48,45,33
"ENSG00000068912.9",890,745,703,892,702,308
"ENSG00000119737.5",50,49,63,75,91,107
"ENSG00000068878.10",4223,3880,3925,4847,3853,2605
"ENSG00000170634.8",149,123,157,184,173,153
"ENSG00000272156.1",8,10,7,9,12,8
"ENSG00000178021.9",634,578,530,647,729,551
"ENSG00000115306.11",4137,3625,4959,6152,2948,2177
"ENSG00000214595.7",95,90,138,171,175,119
"ENSG00000115310.13",6470,5728,5512,7566,7313,4083
"ENSG00000200086.1",17,14,15,28,26,38
"ENSG00000162994.11",121,105,155,164,175,177
"ENSG00000203327.2",10,11,11,13,11,24
"ENSG00000227799.1",71,69,64,62,80,85
"ENSG00000143947.8",8913,9168,8148,9951,7779,2109
"ENSG00000085760.10",1503,1227,1270,1642,1208,652
"ENSG00000162997.11",145,116,101,147,107,120
"ENSG00000115355.11",3317,2810,3084,3409,2662,2346
"ENSG00000240401.4",70,48,45,50,44,38
"ENSG00000163001.7",555,564,602,632,460,344
"ENSG00000138041.11",1809,1503,1852,2194,1841,1323
"ENSG00000138035.10",959,839,928,1009,743,486
"ENSG00000115380.14",36,37,11,33,36,12
"ENSG00000055813.5",11,10,12,12,22,2
"ENSG00000028116.12",512,444,433,521,371,266
"ENSG00000115392.7",453,404,436,476,388,305
"ENSG00000233426.2",34,41,26,61,35,13
"ENSG00000231043.2",10,5,5,11,14,6
"ENSG00000119866.16",24,16,14,36,25,20
"ENSG00000115421.8",525,436,421,540,384,290
"ENSG00000162924.9",519,430,404,568,476,383
"ENSG00000237522.1",20,29,43,53,47,40
"ENSG00000232713.2",16,9,16,24,18,24
"ENSG00000162927.9",173,157,193,249,180,123
"ENSG00000162928.8",550,448,504,598,410,281
"ENSG00000162929.9",252,244,146,193,171,123
"ENSG00000173209.18",1960,1754,1364,1568,1289,1258
"ENSG00000115464.10",5219,4623,5106,5896,5044,4208
"ENSG00000273302.1",28,21,21,20,25,30
"ENSG00000271146.1",10,11,13,9,9,9
"ENSG00000234624.2",13,27,12,15,15,17
"ENSG00000270820.1",68,74,72,79,83,38
"ENSG00000082898.12",6391,5757,5605,6767,5533,3444
"ENSG00000170264.8",11,23,32,30,46,20
"ENSG00000115484.10",6477,6147,5579,7167,5612,1560
"ENSG00000236498.1",21,25,7,18,14,21
