"gene_id","WT_1","WT_2","IR1_1","IR1_2","IR2_1","IR2_2"
"ENSG00000215912.7",53,33,71,110,99,117
"ENSG00000142611.12",20,20,17,47,49,25
"ENSG00000130762.10",25,26,38,84,316,319
"ENSG00000162591.11",82,52,169,256,608,714
"ENSG00000238260.1",1,13,12,9,13,17
"ENSG00000158109.10",346,282,332,481,416,156
"ENSG00000116213.11",825,768,887,1069,777,477
"ENSG00000078900.10",445,288,246,352,485,364
"ENSG00000227589.1",20,15,6,9,10,17
"ENSG00000235131.1",20,25,4,7,13,21
"ENSG00000227372.6",1769,1507,1509,1874,1514,1343
"ENSG00000162592.4",68,65,39,66,64,43
"ENSG00000235169.3",788,792,707,821,736,527
"ENSG00000130764.5",1226,951,1451,1778,1470,968
"ENSG00000266075.1",8,4,16,15,17,21
"ENSG00000272153.1",34,23,37,35,39,39
"ENSG00000116198.8",956,820,1305,1666,1417,1104
"ENSG00000169598.11",254,188,247,331,239,224
"ENSG00000198912.6",956,825,696,933,757,516
"ENSG00000236423.1",21,29,32,23,63,35
"ENSG00000196581.6",8,19,5,5,18,17
"ENSG00000131697.13",1246,1044,1161,1482,1258,1078
"ENSG00000069424.10",342,294,465,635,494,347
"ENSG00000116254.13",44,34,54,81,76,47
"ENSG00000116251.5",5385,5303,5655,6633,5366,2128
"ENSG00000226944.1",21,23,45,44,35,16
"ENSG00000158286.8",491,392,914,915,765,846
"ENSG00000116237.11",942,895,1067,1520,1303,790
"ENSG00000225077.2",4,3,11,12,18,14
"ENSG00000158292.6",103,105,68,105,147,119
"ENSG00000097021.15",798,704,662,811,687,265
"ENSG00000069812.7",15,8,7,11,10,8
"ENSG00000187017.10",362,291,76,89,95,85
"ENSG00000215788.5",25,11,15,38,37,9
"ENSG00000171680.16",32,33,39,55,62,38
"ENSG00000162408.10",1740,1498,2125,2636,2171,1708
"ENSG00000229519.2",45,31,39,40,23,27
"ENSG00000173662.15",55,43,33,65,48,34
"ENSG00000204859.7",630,591,1039,1155,1074,942
"ENSG00000162413.12",2924,2613,2662,3402,2994,2199
"ENSG00000116273.5",969,761,956,1187,1053,759
"ENSG00000041988.11",482,382,423,505,357,280
"ENSG00000007923.11",858,741,1121,1416,1375,944
"ENSG00000237436.1",30,13,21,22,26,19
"ENSG00000171735.14",208,220,319,416,349,239
"ENSG00000227950.1",8,4,8,18,10,8
"ENSG00000049245.8",589,503,594,669,638,327
"ENSG00000269925.1",13,15,13,3,10,3
"ENSG00000049246.10",494,469,643,757,636,476
"ENSG00000236266.1",6,13,17,3,17,14
"ENSG00000049249.4",4,4,6,18,24,9
"ENSG00000116288.8",2661,2465,2937,3756,3094,1016
"ENSG00000116285.8",51,82,20,26,72,42
"ENSG00000162426.10",4,14,10,14,20,6
"ENSG00000142599.13",1766,1482,2257,2698,2654,2611
"ENSG00000232912.1",19,11,18,35,14,27
"ENSG00000270282.1",7,6,12,5,15,14
"ENSG00000234619.1",28,29,58,37,37,49
"ENSG00000224315.2",57,50,78,59,78,127
"ENSG00000226545.1",32,20,57,60,44,54
"ENSG00000228423.2",43,26,59,48,43,59
"ENSG00000074800.9",60492,54570,53742,71145,60193,21284
"ENSG00000236269.1",173,160,116,163,134,126
"ENSG00000131686.10",3,2,7,11,7,10
"ENSG00000197241.3",15,6,6,33,20,7
"ENSG00000142583.13",10,7,10,18,20,11
"ENSG00000180758.10",9,16,8,44,26,12
"ENSG00000049239.8",695,624,513,711,676,430
"ENSG00000171621.9",6,8,1,12,29,9
"ENSG00000171612.6",454,404,550,644,556,309
"ENSG00000231181.1",19,15,18,17,9,19
"ENSG00000188807.8",592,510,696,854,811,775
"ENSG00000171608.11",1499,1272,659,855,563,425
"ENSG00000231789.2",161,140,75,96,71,33
"ENSG00000171603.12",1103,919,902,1251,1106,536
"ENSG00000178585.10",648,620,367,486,368,232
"ENSG00000162441.7",417,380,483,520,459,353
"ENSG00000228150.1",15,13,21,13,20,16
"ENSG00000173614.9",103,126,191,246,234,149
"ENSG00000202415.1",7,6,12,5,8,18
"ENSG00000130939.14",2276,2014,2381,3121,2765,2049
"ENSG00000224340.1",4,13,15,6,6,15
"ENSG00000233623.2",47,31,39,43,38,50
"ENSG00000054523.12",2266,2010,2243,2991,2030,1411
"ENSG00000142657.16",6093,5557,4956,6517,5469,2333
"ENSG00000175279.17",40,36,44,92,53,39
"ENSG00000241563.2",13,4,7,16,11,18
"ENSG00000160049.7",1359,1268,2328,2857,2089,1383
"ENSG00000142655.8",612,606,695,888,810,470
"ENSG00000243267.2",4,10,8,16,5,9
"ENSG00000130940.10",23,30,38,88,50,47
"ENSG00000175262.10",12,9,3,23,25,9
"ENSG00000120948.11",2766,2452,2799,3450,3174,2010
"ENSG00000009724.12",36,42,50,54,63,70
"ENSG00000271895.1",16,13,17,30,26,32
"ENSG00000116649.5",1062,897,1342,1814,1551,696
"ENSG00000171824.9",1964,1606,2236,2791,2267,1655
"ENSG00000226849.1",16,16,22,24,16,10
"ENSG00000198793.8",3481,3013,3428,4641,4160,2720
"ENSG00000225602.1",12,4,10,21,7,11
"ENSG00000171819.4",61,40,50,51,39,35
"ENSG00000120942.9",398,358,434,614,535,263
"ENSG00000204624.6",23,17,19,40,45,14
"ENSG00000235643.1",4,5,6,9,20,15
"ENSG00000116661.9",72,59,89,164,36,42
"ENSG00000132879.9",436,412,413,581,297,264
"ENSG00000116663.6",621,586,563,684,399,189
"ENSG00000116670.10",1697,1663,1637,2215,1986,702
"ENSG00000162490.6",11,12,3,10,11,5
"ENSG00000177674.11",738,621,638,814,665,273
"ENSG00000215910.3",123,138,72,103,92,71
"ENSG00000177000.6",3210,2798,5829,7206,6525,4543
"ENSG00000011021.17",1448,1173,1069,1473,1231,1129
"ENSG00000242349.1",27,26,15,5,20,37
"ENSG00000175206.6",17,16,7,9,23,18
"ENSG00000199347.1",20,22,28,24,34,7
"ENSG00000116685.11",2175,1913,1745,2286,2005,1109
"ENSG00000083444.12",5712,5024,3715,5660,6248,2860
"ENSG00000116688.12",3020,2557,3069,3784,3507,1972
"ENSG00000116691.6",2246,2006,1570,1863,1075,726
"ENSG00000202461.1",28,19,16,21,6,11
"ENSG00000120949.10",252,213,185,284,159,116
"ENSG00000028137.12",1125,965,2211,3384,2890,1544
"ENSG00000048707.9",5849,5311,10417,12266,10713,9264
"ENSG00000239149.1",26,26,24,23,23,5
"ENSG00000162496.4",1816,1660,1073,1415,1018,618
"ENSG00000221340.1",10,7,10,5,2,1
"ENSG00000272482.1",88,62,47,54,43,31
"ENSG00000204518.2",17,10,13,8,15,8
"ENSG00000188984.7",14,3,3,10,5,3
"ENSG00000157330.5",12,8,1,14,6,4
"ENSG00000116726.4",15,6,8,12,12,8
"ENSG00000116721.9",11,18,4,15,34,12
"ENSG00000204513.5",6,9,9,26,24,11
"ENSG00000179172.7",16,7,12,17,13,14
"ENSG00000120952.4",9,13,8,21,39,11
"ENSG00000243073.3",13,18,5,30,19,12
"ENSG00000232423.3",4,5,4,16,12,2
"ENSG00000229571.2",11,5,9,28,24,6
"ENSG00000162493.12",2,12,5,8,13,4
"ENSG00000116731.18",869,715,858,1192,985,883
"ENSG00000234593.1",18,12,5,8,36,26
"ENSG00000189337.11",246,215,846,1024,677,604
"ENSG00000175147.7",0,1,1,5,16,11
"ENSG00000171729.9",8,6,49,90,132,89
"ENSG00000142621.15",31,30,188,264,314,327
"ENSG00000228140.1",1,7,10,13,5,4
"ENSG00000142634.8",667,632,1325,1756,1469,1113
"ENSG00000162438.7",11,13,3,9,26,15
"ENSG00000142615.7",4,5,4,11,16,13
"ENSG00000215704.5",21,10,21,33,52,32
"ENSG00000132906.13",652,589,616,794,737,467
"ENSG00000116138.8",698,638,666,804,741,492
"ENSG00000116771.5",14,18,24,33,20,27
"ENSG00000235084.2",8,7,6,18,11,4
"ENSG00000197312.7",1438,1179,1976,2476,2443,1867
"ENSG00000116786.7",2953,2715,2841,3470,3096,2383
"ENSG00000237938.1",41,23,32,26,35,31
"ENSG00000162461.7",12,10,10,31,39,20
"ENSG00000162460.6",11,10,4,15,5,4
"ENSG00000162458.8",14,13,9,10,32,14
"ENSG00000233954.4",411,362,601,583,546,252
"ENSG00000178715.7",6,6,12,2,6,10
"ENSG00000179743.2",285,298,418,506,504,260
"ENSG00000065526.6",6699,5702,8933,10751,8902,8553
"ENSG00000116809.7",916,802,1082,1467,1332,1207
"ENSG00000234607.2",8,8,13,20,20,15
"ENSG00000173641.13",25,42,34,54,75,61
"ENSG00000186510.7",21,31,41,60,90,71
"ENSG00000184908.13",54,31,59,84,111,78
"ENSG00000185519.8",9,13,21,21,42,18
"ENSG00000142627.9",31,31,25,84,35,20
"ENSG00000142632.12",561,519,1400,1712,2123,1570
"ENSG00000237276.4",62,62,101,124,162,109
"ENSG00000204377.3",37,41,111,158,118,98
"ENSG00000132881.7",247,234,571,724,638,288
"ENSG00000037637.6",1198,1230,1655,2074,1909,1224
"ENSG00000055070.12",1465,1328,1828,2299,1924,1221
"ENSG00000226457.1",23,21,18,14,22,29
"ENSG00000187144.7",42,32,50,78,53,42
"ENSG00000157191.15",1393,1241,1384,1755,1347,701
"ENSG00000226029.1",55,46,67,92,66,85
"ENSG00000080947.10",281,270,363,350,246,388
"ENSG00000206652.1",54,74,94,130,75,36
"ENSG00000261135.1",15,11,22,25,20,16
"ENSG00000233421.3",5,4,41,51,29,26
