ID	adj.P.Val	P.Value	t	B	logFC	GI	Gene.symbol	Gene.title
ILMN_1802053	1.51E-07	1.44E-08	1.25E+01	9.137901	0.6443822	665821165	ZNF91	zinc finger protein 91
ILMN_1698487	1.51E-07	1.44E-08	-1.25E+01	9.1375379	-0.46604875	452405284	SDHD	succinate dehydrogenase complex subunit D
ILMN_1698770	1.52E-07	1.44E-08	-1.25E+01	9.1362232	-0.62361273	565324129	NADK2	"NAD kinase 2, mitochondrial"
ILMN_1709114	1.52E-07	1.44E-08	1.25E+01	9.1349011	0.55734693	47717114	TAB1	TGF-beta activated kinase 1 (MAP3K7) binding protein 1
ILMN_2339748	1.52E-07	1.45E-08	-1.24E+01	9.1325751	-0.48873954	145309294	RNF13	ring finger protein 13
ILMN_2407619	1.52E-07	1.45E-08	-1.24E+01	9.131302	-0.61175941	567316251	CDC25C	cell division cycle 25C
ILMN_1794011	1.52E-07	1.45E-08	1.24E+01	9.1306485	0.7906683	344925865	CHST2	carbohydrate sulfotransferase 2
ILMN_1719344	1.53E-07	1.45E-08	-1.24E+01	9.1283133	-0.4918944	NA		
ILMN_1689461	1.53E-07	1.45E-08	1.24E+01	9.1280311	0.5539733	22902135	SP7	Sp7 transcription factor
ILMN_1714349	1.53E-07	1.45E-08	-1.24E+01	9.1264294	-0.52755912	1022943141	GLCE	glucuronic acid epimerase
ILMN_1722390	1.53E-07	1.46E-08	1.24E+01	9.1213241	0.46995052	342360617	CHRAC1	chromatin accessibility complex 1
ILMN_1739259	1.54E-07	1.47E-08	-1.24E+01	9.118037	-0.65641027	323362981	UBE4A	ubiquitination factor E4A
ILMN_1671207	1.54E-07	1.47E-08	-1.24E+01	9.1173341	-0.57117005	46852146	IARS2	"isoleucyl-tRNA synthetase 2, mitochondrial"
ILMN_1763011	1.54E-07	1.47E-08	1.24E+01	9.1165427	0.51027929	300863122	SUGCT	succinyl-CoA:glutarate-CoA transferase
ILMN_1668546	1.54E-07	1.47E-08	1.24E+01	9.1136778	0.43623157	386781717	STK31	serine/threonine kinase 31
ILMN_1807533	1.55E-07	1.47E-08	1.24E+01	9.1117144	0.74469608	116812581	SMG8	"SMG8, nonsense mediated mRNA decay factor"
ILMN_2413331	1.55E-07	1.47E-08	-1.24E+01	9.1116994	-0.4391063	156523275	TMEM107	transmembrane protein 107
ILMN_1728984	1.55E-07	1.47E-08	1.24E+01	9.1116903	0.5528196	124494253	PA2G4	proliferation-associated 2G4
ILMN_2170625	1.55E-07	1.48E-08	1.24E+01	9.1094669	0.54878322	NA		
ILMN_1793349	1.55E-07	1.48E-08	1.24E+01	9.1089616	0.52682522	348041368	MOB1B	MOB kinase activator 1B
ILMN_2394161	1.55E-07	1.48E-08	-1.24E+01	9.1085144	-0.41169141	520262190	ST8SIA4	"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4"
ILMN_1721703	1.55E-07	1.48E-08	1.24E+01	9.107716	0.71173186	133908618	PNN	"pinin, desmosome associated protein"
ILMN_1758173	1.56E-07	1.49E-08	1.24E+01	9.1018411	0.51549875	306035185	TMEM99	transmembrane protein 99
ILMN_1660364	1.56E-07	1.49E-08	1.24E+01	9.1018141	0.57371401	966707551	CYTH4	cytohesin 4
ILMN_1700316	1.57E-07	1.50E-08	1.24E+01	9.0964488	0.50579189	NA		
ILMN_1763641	1.57E-07	1.50E-08	1.24E+01	9.0928135	0.43899176	223890220	ZNF614	zinc finger protein 614
ILMN_2381753	1.57E-07	1.50E-08	1.24E+01	9.0924051	0.54698769	194733761	G3BP2	G3BP stress granule assembly factor 2
