ID	adj.P.Val	P.Value	t	B	logFC	GI	Gene.symbol	Gene.title
ILMN_3305152	2.46E-18	7.59E-23	-1.65E+02	41.340259	-5.98372739	NA		
ILMN_1684886	2.46E-18	1.04E-22	-1.61E+02	41.1242117	-5.81127617	66932942	VCX	"variable charge, X-linked"
ILMN_1691494	2.48E-18	1.58E-22	-1.56E+02	40.832837	-6.49467735	NA		
ILMN_2160210	7.22E-18	6.12E-22	-1.40E+02	39.8403932	-5.07843007	218505669	EPCAM	epithelial cell adhesion molecule
ILMN_2169152	1.03E-17	1.11E-21	-1.34E+02	39.3802124	-5.84283457	1005261257	SRGN	serglycin
ILMN_2363141	1.03E-17	1.31E-21	-1.32E+02	39.2572058	-4.61618171	746816088	PAGE5	PAGE family member 5
ILMN_2366642	1.06E-17	1.57E-21	-1.30E+02	39.1114622	-5.87120849	223941936	VCX3A	"variable charge, X-linked 3A"
ILMN_3249032	1.19E-17	2.01E-21	-1.28E+02	38.9173561	-4.32460299	218505669	EPCAM	epithelial cell adhesion molecule
ILMN_1748538	1.37E-17	2.76E-21	-1.25E+02	38.6627439	-5.88128769	332634706	ALDH1A2	aldehyde dehydrogenase 1 family member A2
ILMN_1744656	1.37E-17	2.89E-21	-1.24E+02	38.6243186	-4.16166656	746816088	PAGE5	PAGE family member 5
ILMN_2343774	1.52E-17	3.70E-21	-1.22E+02	38.4239465	-5.4003887	NA		
ILMN_1682928	1.52E-17	4.11E-21	1.21E+02	38.3380835	4.24224719	83641875	CPVL	"carboxypeptidase, vitellogenic like"
ILMN_1778173	1.52E-17	4.39E-21	-1.20E+02	38.2839148	-4.12046221	315434221	AK3	adenylate kinase 3
ILMN_1763196	1.52E-17	4.50E-21	1.20E+02	38.2634785	3.96165415	464402376	WDR72	WD repeat domain 72
ILMN_1792538	1.61E-17	5.35E-21	1.19E+02	38.1217358	4.21124349	61676094	CD7	CD7 molecule
ILMN_2166716	1.61E-17	5.44E-21	-1.18E+02	38.1074173	-5.82817296	302565115	VCX3B	"variable charge, X-linked 3B"
ILMN_1701933	1.92E-17	6.90E-21	1.16E+02	37.9099041	4.17916542	225690600	SNCA	synuclein alpha
ILMN_2400759	2.13E-17	8.37E-21	1.14E+02	37.7483897	4.96154194	83641873	CPVL	"carboxypeptidase, vitellogenic like"
ILMN_1759330	2.13E-17	8.58E-21	1.14E+02	37.7276351	4.43949644	383792143	KIF1A	kinesin family member 1A
ILMN_2247572	3.38E-17	1.43E-20	-1.10E+02	37.2946524	-4.09463995	522838257	SSX1	SSX family member 1
ILMN_1803429	3.42E-17	1.53E-20	1.09E+02	37.2341305	3.92266904	48255940	CD44	CD44 molecule (Indian blood group)
ILMN_1715463	3.42E-17	1.60E-20	-1.09E+02	37.1958409	-3.91412481	100913216	SOSTDC1	sclerostin domain containing 1
ILMN_2101278	3.42E-17	1.67E-20	1.09E+02	37.1627846	3.9641926	56682942	RGS18	regulator of G-protein signaling 18
ILMN_1760347	4.70E-17	2.39E-20	-1.06E+02	36.853407	-5.77028497	1005261257	SRGN	serglycin
ILMN_2061435	4.76E-17	2.52E-20	1.05E+02	36.8062906	3.67478728	290543313	MEG3	maternally expressed 3 (non-protein coding)
ILMN_1671565	5.14E-17	2.85E-20	-1.04E+02	36.6987336	-3.74917149	156071486	RNASET2	ribonuclease T2
ILMN_1686373	5.14E-17	3.02E-20	-1.04E+02	36.647798	-4.19849338	148747372	CFAP161	cilia and flagella associated protein 161
ILMN_1745395	5.14E-17	3.05E-20	-1.04E+02	36.6407491	-4.82800923	392933921	CTCFL	CCCTC-binding factor like
ILMN_1682126	8.38E-17	5.25E-20	9.93E+01	36.161031	4.13140149	NA		
ILMN_3299047	8.38E-17	5.55E-20	-9.89E+01	36.1118854	-3.95947162	NA		
ILMN_1772458	8.38E-17	5.55E-20	-9.89E+01	36.1117938	-3.45879742	359718950	SPAG6	sperm associated antigen 6
ILMN_1782501	8.38E-17	5.68E-20	-9.87E+01	36.0908703	-4.22446042	NA		
ILMN_1706028	1.02E-16	7.29E-20	-9.68E+01	35.8680052	-4.30917486	756761812	VCX2	"variable charge, X-linked 2"
ILMN_1807042	1.02E-16	7.37E-20	-9.67E+01	35.8575058	-3.34420826	743405628	MARCKS	myristoylated alanine rich protein kinase C substrate
ILMN_1746517	1.11E-16	8.48E-20	-9.57E+01	35.7324665	-3.38560093	74101435	KYNU	kynureninase
ILMN_2046730	1.11E-16	8.48E-20	9.57E+01	35.7321327	3.76922747	115298655	S100A10	S100 calcium binding protein A10
ILMN_3247645	1.36E-16	1.07E-19	-9.40E+01	35.5233001	-4.18844822	171460991	LINC01420	long intergenic non-protein coding RNA 1420
ILMN_1774602	1.36E-16	1.10E-19	9.38E+01	35.4989591	3.34787936	51873054	FBLN2	fibulin 2
ILMN_1668092	1.38E-16	1.14E-19	9.35E+01	35.4662672	3.54773243	148664204	ESAM	endothelial cell adhesion molecule
ILMN_3263451	1.49E-16	1.26E-19	-9.28E+01	35.3733584	-3.09212304	NA		
ILMN_1735192	1.56E-16	1.35E-19	-9.23E+01	35.3096196	-3.12802049	364502938	COLEC11	collectin subfamily member 11
ILMN_1731206	1.58E-16	1.44E-19	9.18E+01	35.2516194	3.41751038	402747012	NKD2	naked cuticle homolog 2
ILMN_2366330	1.58E-16	1.45E-19	-9.18E+01	35.2490388	-3.4919216	215983055	FERMT3	fermitin family member 3
ILMN_1655867	1.58E-16	1.47E-19	9.17E+01	35.2315208	3.39380033	389565503	HRASLS	HRAS like suppressor
ILMN_2197946	1.72E-16	1.66E-19	-9.08E+01	35.1214155	-3.44893447	259089431	SCG3	secretogranin III
ILMN_2402303	1.72E-16	1.68E-19	-9.07E+01	35.1123293	-3.32571868	373838722	SSX4B	SSX family member 4B
ILMN_1651789	1.73E-16	1.75E-19	-9.04E+01	35.0744729	-4.07919029	756761812	VCX2	"variable charge, X-linked 2"
ILMN_1726924	1.73E-16	1.76E-19	-9.04E+01	35.0689695	-3.41266554	313482813	SYNGR4	synaptogyrin 4
ILMN_3259146	1.94E-16	2.01E-19	-8.95E+01	34.9462344	-3.86091513	NA		
ILMN_1688444	1.96E-16	2.10E-19	-8.92E+01	34.9069589	-3.57003935	NA		
ILMN_2203950	1.96E-16	2.11E-19	8.91E+01	34.901624	2.99183344	337752171	HLA-A	"major histocompatibility complex, class I, A"
ILMN_2199439	2.22E-16	2.44E-19	8.81E+01	34.7688473	3.30312045	157952216	CA2	carbonic anhydrase 2
ILMN_1672503	2.31E-16	2.60E-19	8.77E+01	34.7115222	3.16909638	347543827	DPYSL2	dihydropyrimidinase like 2
ILMN_1685699	2.32E-16	2.65E-19	8.76E+01	34.690879	3.18449079	170014742	PRSS3	"protease, serine 3"
ILMN_2096372	2.45E-16	2.85E-19	-8.71E+01	34.6247635	-3.77735351	327365354	ALDH1A1	aldehyde dehydrogenase 1 family member A1
ILMN_1805750	2.71E-16	3.21E-19	-8.63E+01	34.5144951	-3.89088478	148612841	IFITM3	interferon induced transmembrane protein 3
ILMN_1709348	2.71E-16	3.32E-19	-8.61E+01	34.4844382	-3.22489551	327365354	ALDH1A1	aldehyde dehydrogenase 1 family member A1
ILMN_2413158	2.71E-16	3.33E-19	8.60E+01	34.4806569	2.9883531	144094253	PODXL	podocalyxin like
ILMN_1800276	3.16E-16	3.95E-19	8.49E+01	34.3224119	3.33132485	221316739	RCN1	reticulocalbin 1
ILMN_1737972	3.25E-16	4.13E-19	8.46E+01	34.2802082	3.12268641	49410494	TSPYL5	TSPY like 5
ILMN_2317446	3.51E-16	4.53E-19	-8.40E+01	34.1941578	-3.0801792	221139808	CT55	cancer/testis antigen 55
ILMN_1751901	3.62E-16	4.75E-19	8.37E+01	34.1493674	3.19490364	214010246	TMEM163	transmembrane protein 163
ILMN_1684697	3.68E-16	4.91E-19	-8.35E+01	34.1178471	-3.37539021	522838260	SSX2	SSX family member 2
ILMN_2339835	4.15E-16	5.63E-19	8.26E+01	33.9908623	3.22360875	403310637	PTGS1	prostaglandin-endoperoxide synthase 1
ILMN_1691156	4.30E-16	5.92E-19	8.23E+01	33.9430365	2.927907	71274112	MT1A	metallothionein 1A
ILMN_2246154	4.45E-16	6.21E-19	-8.20E+01	33.8977028	-3.33543122	46195754	ZBED9	zinc finger BED-type containing 9
ILMN_1806754	4.49E-16	6.37E-19	8.18E+01	33.8745691	2.98535236	108773800	GLDC	glycine decarboxylase
ILMN_2313349	4.66E-16	6.70E-19	-8.15E+01	33.8263861	-3.1067789	NA		
ILMN_2208413	4.81E-16	7.03E-19	-8.12E+01	33.781776	-3.97714351	188497641	ARHGAP15	Rho GTPase activating protein 15
ILMN_1688877	4.92E-16	7.32E-19	-8.09E+01	33.7435344	-4.32158731	948549896	DIRAS3	DIRAS family GTPase 3
ILMN_1718621	4.92E-16	7.41E-19	8.09E+01	33.7322719	3.15088048	NA		
ILMN_1732410	4.92E-16	7.51E-19	8.08E+01	33.7185859	3.27418778	197383642	SLC16A9	solute carrier family 16 member 9
ILMN_2384857	4.92E-16	7.78E-19	-8.06E+01	33.6861118	-3.36891424	166851825	DHRS2	dehydrogenase/reductase 2
ILMN_1801216	4.92E-16	7.80E-19	-8.05E+01	33.6837578	-2.92788606	45827727	S100P	S100 calcium binding protein P
ILMN_3238960	4.92E-16	7.89E-19	8.05E+01	33.6725568	3.46576863	NA		
ILMN_3299520	4.92E-16	7.91E-19	-8.05E+01	33.670057	-2.76699937	197100056	PRKCB	protein kinase C beta
ILMN_1662795	4.92E-16	8.02E-19	8.04E+01	33.6568104	3.7133867	157952216	CA2	carbonic anhydrase 2
ILMN_2355033	5.03E-16	8.31E-19	8.02E+01	33.623718	3.1748878	122937184	KIAA1147	KIAA1147
ILMN_1665964	5.34E-16	8.93E-19	-7.97E+01	33.5548981	-3.10431688	270265867	GAB2	GRB2 associated binding protein 2
ILMN_1782439	5.38E-16	9.12E-19	7.96E+01	33.5355408	3.06170236	554506498	CNN3	calponin 3
ILMN_1712431	5.85E-16	1.00E-18	-7.90E+01	33.4455071	-4.24455705	526479833	PCED1B	PC-esterase domain containing 1B
ILMN_1750234	5.96E-16	1.04E-18	7.88E+01	33.4148852	3.37983191	744066876	PRSS2	"protease, serine 2"
ILMN_1718766	6.01E-16	1.06E-18	7.87E+01	33.3966322	3.20542078	194097399	MT1F	metallothionein 1F
ILMN_1768425	6.14E-16	1.09E-18	7.85E+01	33.3645256	3.09507143	257196241	TF	transferrin
ILMN_1846306	6.43E-16	1.16E-18	7.81E+01	33.3091329	3.069806	21706999	LOC105379362	uncharacterized LOC105379362
ILMN_2403247	6.59E-16	1.21E-18	7.78E+01	33.265881	2.78314219	999809134	CMTM7	CKLF like MARVEL transmembrane domain containing 7
ILMN_1779758	6.59E-16	1.21E-18	-7.78E+01	33.2630055	-3.22788921	158081768	OR51B4	olfactory receptor family 51 subfamily B member 4
ILMN_1815527	7.32E-16	1.36E-18	7.71E+01	33.1520029	2.89087598	62865863	HBD	hemoglobin subunit delta
ILMN_1683872	8.25E-16	1.56E-18	-7.63E+01	33.0269427	-3.49321717	49355825	VCY	"variable charge, Y-linked"
ILMN_1785161	8.47E-16	1.62E-18	-7.61E+01	32.9888651	-3.27748873	387598040	CHCHD6	coiled-coil-helix-coiled-coil-helix domain containing 6
ILMN_1723480	8.47E-16	1.63E-18	-7.61E+01	32.9811031	-3.74144883	542133069	BST2	bone marrow stromal cell antigen 2
ILMN_1695530	8.79E-16	1.72E-18	7.57E+01	32.9281161	3.20824752	73486648	MS4A3	membrane spanning 4-domains A3
ILMN_1766165	8.79E-16	1.73E-18	7.57E+01	32.9241518	3.12008873	225690599	SNCA	synuclein alpha
ILMN_2069915	9.97E-16	1.98E-18	-7.49E+01	32.7936877	-2.98173524	261878486	MAGEA8	MAGE family member A8
ILMN_1756439	1.14E-15	2.30E-18	7.41E+01	32.6514035	3.14450948	224465186	SCRN1	secernin 1
ILMN_1661755	1.20E-15	2.45E-18	-7.37E+01	32.591122	-3.06021623	565324157	FAM129B	family with sequence similarity 129 member B
ILMN_1749131	1.23E-15	2.52E-18	-7.35E+01	32.5619512	-2.88375518	937834188	ENPP3	ectonucleotide pyrophosphatase/phosphodiesterase 3
ILMN_1779031	1.23E-15	2.56E-18	-7.35E+01	32.5484604	-2.8549475	28372568	ZPLD1	zona pellucida like domain containing 1
ILMN_1764690	1.25E-15	2.63E-18	7.33E+01	32.523403	2.75753936	317008624	NTS	neurotensin
ILMN_1652431	1.26E-15	2.67E-18	7.32E+01	32.5079324	2.65693055	634743296	CA1	carbonic anhydrase 1
ILMN_1737163	1.51E-15	3.23E-18	7.21E+01	32.3228872	2.69797828	110227860	SH3BGRL3	SH3 domain binding glutamate rich protein like 3
ILMN_1789244	1.55E-15	3.38E-18	7.19E+01	32.2795798	2.74989368	574957188	SOX8	SRY-box 8
ILMN_1791253	1.55E-15	3.39E-18	-7.19E+01	32.2774021	-4.07876259	161333851	FBXL13	F-box and leucine rich repeat protein 13
ILMN_1668850	1.65E-15	3.67E-18	-7.14E+01	32.2004416	-2.60760005	299523249	PCSK9	proprotein convertase subtilisin/kexin type 9
ILMN_1673704	1.65E-15	3.67E-18	7.14E+01	32.1995243	2.40070746	197304748	INA	internexin neuronal intermediate filament protein alpha
ILMN_1800642	1.68E-15	3.79E-18	7.12E+01	32.1676772	3.11131504	223718142	RELN	reelin
ILMN_2380163	1.68E-15	3.81E-18	7.12E+01	32.1622744	3.34174675	1041818000	PTPRF	"protein tyrosine phosphatase, receptor type F"
ILMN_1733191	1.80E-15	4.11E-18	-7.08E+01	32.0904108	-2.62388232	756141051	CCDC26	CCDC26 long non-coding RNA
ILMN_1770399	1.81E-15	4.20E-18	7.07E+01	32.0695106	2.65413189	197384221	C10orf107	chromosome 10 open reading frame 107
ILMN_2404327	1.81E-15	4.23E-18	-7.06E+01	32.0628186	-3.26662067	522838260	SSX2	SSX family member 2
ILMN_1779241	1.90E-15	4.50E-18	7.03E+01	32.000753	2.70063012	685504979	CRYM	crystallin mu
ILMN_3238339	1.90E-15	4.51E-18	7.03E+01	32.0004328	3.31344194	NA		
ILMN_2075292	2.02E-15	4.83E-18	-6.99E+01	31.9323783	-3.01528074	124248553	MAGEA9B	MAGE family member A9B
ILMN_2233539	2.13E-15	5.15E-18	6.96E+01	31.8710034	2.62153421	59710105	SLC39A8	solute carrier family 39 member 8
ILMN_1748124	2.26E-15	5.53E-18	6.92E+01	31.8008745	2.58269339	62865623	TSC22D3	TSC22 domain family member 3
ILMN_2378845	2.26E-15	5.55E-18	-6.92E+01	31.7975806	-3.18133967	756761812	VCX2	"variable charge, X-linked 2"
ILMN_2223663	2.31E-15	5.71E-18	-6.90E+01	31.7692155	-2.44927083	24430211	IL23R	interleukin 23 receptor
ILMN_1705258	2.47E-15	6.18E-18	-6.86E+01	31.6923782	-2.33767828	307548904	CPZ	carboxypeptidase Z
ILMN_1687978	2.57E-15	6.48E-18	6.83E+01	31.6450275	2.62615409	83977458	PHLDA1	pleckstrin homology like domain family A member 1
ILMN_1771599	2.58E-15	6.61E-18	6.82E+01	31.627056	2.33965811	62739165	PLOD2	"procollagen-lysine,2-oxoglutarate 5-dioxygenase 2"
ILMN_1715214	2.58E-15	6.62E-18	-6.82E+01	31.6249102	-2.47928726	315221141	PTPN7	"protein tyrosine phosphatase, non-receptor type 7"
ILMN_1725193	2.61E-15	6.73E-18	6.81E+01	31.6082758	2.5290433	55925575	IGFBP2	insulin like growth factor binding protein 2
ILMN_1730639	2.63E-15	6.87E-18	-6.80E+01	31.5882976	-2.4232092	166197672	SLC22A15	solute carrier family 22 member 15
ILMN_3306730	2.63E-15	6.90E-18	-6.80E+01	31.5849279	-2.5512674	148833510	RBM47	RNA binding motif protein 47
ILMN_2216815	2.93E-15	7.75E-18	-6.74E+01	31.4706885	-2.22539453	310750346	MAP7	microtubule associated protein 7
ILMN_1693650	2.95E-15	7.86E-18	-6.73E+01	31.4562884	-2.52519701	219842226	FES	"FES proto-oncogene, tyrosine kinase"
ILMN_1777691	2.95E-15	7.92E-18	6.73E+01	31.4489605	2.85459717	51011132	ARL9	ADP ribosylation factor like GTPase 9
ILMN_1790891	3.28E-15	8.89E-18	6.67E+01	31.3359613	2.70527526	219842270	CKAP4	cytoskeleton associated protein 4
ILMN_1761247	3.28E-15	8.97E-18	-6.66E+01	31.3267271	-2.7885417	323363014	PIR	pirin
ILMN_1652906	3.44E-15	9.48E-18	6.64E+01	31.2725603	2.94406252	544063397	GBGT1	"globoside alpha-1,3-N-acetylgalactosaminyltransferase 1"
ILMN_1792473	3.44E-15	9.55E-18	6.63E+01	31.2656918	2.83300087	974987467	AIF1	allograft inflammatory factor 1
ILMN_2333829	3.56E-15	1.00E-17	-6.61E+01	31.2191317	-2.89859929	532691775	NXF2	nuclear RNA export factor 2
ILMN_2211483	3.56E-15	1.00E-17	-6.61E+01	31.2180338	-2.70324471	556503422	MAEL	maelstrom spermatogenic transposon silencer
ILMN_1707475	3.62E-15	1.03E-17	6.59E+01	31.1940802	3.08976845	195976814	UBE2E2	ubiquitin conjugating enzyme E2 E2
ILMN_2253537	3.63E-15	1.04E-17	-6.59E+01	31.1835419	-2.42989384	532691775	NXF2	nuclear RNA export factor 2
ILMN_2160209	3.76E-15	1.08E-17	-6.57E+01	31.1413132	-2.80058488	218505669	EPCAM	epithelial cell adhesion molecule
ILMN_1733669	3.93E-15	1.14E-17	-6.54E+01	31.0895184	-2.36089885	266454878	CDH18	cadherin 18
ILMN_2383707	3.97E-15	1.16E-17	-6.53E+01	31.0737956	-3.54432606	332634693	ALDH1A2	aldehyde dehydrogenase 1 family member A2
ILMN_1655490	4.06E-15	1.19E-17	-6.52E+01	31.0455291	-2.6915095	NA		
ILMN_1758146	4.07E-15	1.21E-17	6.51E+01	31.0347104	2.3850836	91105766	SIRPA	signal regulatory protein alpha
ILMN_1674046	4.10E-15	1.22E-17	-6.50E+01	31.0202559	-2.60164914	570359538	C10orf128	chromosome 10 open reading frame 128
ILMN_1773117	4.13E-15	1.24E-17	-6.50E+01	31.0074803	-3.26421557	183396781	BCOR	BCL6 corepressor
ILMN_1696731	4.44E-15	1.34E-17	-6.46E+01	30.9277589	-2.18030702	NA		
ILMN_1688801	4.57E-15	1.39E-17	6.44E+01	30.8929401	2.36634404	409971419	JPH3	junctophilin 3
ILMN_1709043	4.57E-15	1.40E-17	6.44E+01	30.8847628	2.72690243	332635094	PLGRKT	plasminogen receptor with a C-terminal lysine
ILMN_1804993	4.58E-15	1.41E-17	-6.43E+01	30.8775648	-2.44166696	289547673	FAM178B	family with sequence similarity 178 member B
ILMN_1706643	4.66E-15	1.45E-17	-6.42E+01	30.8532787	-2.70674673	240255539	COL6A3	collagen type VI alpha 3 chain
ILMN_1853824	4.66E-15	1.46E-17	6.42E+01	30.8469374	2.85329373	148539887	MGAT3	"mannosyl (beta-1,4-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase"
ILMN_1759652	4.80E-15	1.51E-17	6.40E+01	30.8102488	2.49479377	1000814544	C1orf61	chromosome 1 open reading frame 61
ILMN_1784287	5.01E-15	1.59E-17	-6.37E+01	30.7617059	-2.26130971	307574689	TGFBR3	transforming growth factor beta receptor 3
ILMN_2413808	5.02E-15	1.61E-17	-6.37E+01	30.7522552	-2.34221612	91106722	CD53	CD53 molecule
ILMN_1729749	5.09E-15	1.64E-17	6.36E+01	30.7314989	2.25079608	380420368	HERC5	HECT and RLD domain containing E3 ubiquitin protein ligase 5
ILMN_2412192	5.11E-15	1.66E-17	-6.35E+01	30.7168251	-2.3780225	184172391	CFH	complement factor H
ILMN_3243037	5.11E-15	1.67E-17	-6.35E+01	30.7162499	-2.8489487	193804930	TDRG1	testis development related 1 (non-protein coding)
ILMN_1806908	5.26E-15	1.73E-17	-6.33E+01	30.680638	-2.89626221	197100031	PRKCB	protein kinase C beta
ILMN_1796712	5.35E-15	1.77E-17	6.32E+01	30.6579719	3.00878424	115298655	S100A10	S100 calcium binding protein A10
ILMN_2181064	5.75E-15	1.91E-17	-6.28E+01	30.5786732	-2.26625816	469608372	GBA3	glucosylceramidase beta 3 (gene/pseudogene)
ILMN_1676504	5.75E-15	1.92E-17	6.28E+01	30.5739865	2.55231756	392871548	RPRML	reprimo like
ILMN_1787324	5.89E-15	1.98E-17	-6.27E+01	30.5427466	-3.28302885	14149804	ENKD1	enkurin domain containing 1
ILMN_1677814	5.99E-15	2.03E-17	6.25E+01	30.5201857	2.40813517	221316554	ABCC3	ATP binding cassette subfamily C member 3
ILMN_1757497	5.99E-15	2.04E-17	6.25E+01	30.5141861	3.48671686	194688129	VGF	VGF nerve growth factor inducible
ILMN_1699980	6.08E-15	2.10E-17	6.24E+01	30.4853869	2.20534978	283135198	TSPAN18	tetraspanin 18
ILMN_1734937	6.08E-15	2.12E-17	-6.23E+01	30.4769637	-2.28011526	24430211	IL23R	interleukin 23 receptor
ILMN_1738401	6.08E-15	2.12E-17	6.23E+01	30.4756483	2.90729664	119395715	FOXC1	forkhead box C1
ILMN_1810852	6.08E-15	2.13E-17	6.23E+01	30.4743605	2.69432731	145309325	LAMC1	laminin subunit gamma 1
ILMN_1686664	6.34E-15	2.23E-17	6.21E+01	30.4277775	2.7049939	205277384	MT2A	metallothionein 2A
ILMN_1716563	6.48E-15	2.29E-17	-6.20E+01	30.3999072	-2.18911494	197100056	PRKCB	protein kinase C beta
ILMN_2366334	6.55E-15	2.33E-17	-6.19E+01	30.3830603	-2.49171899	215983055	FERMT3	fermitin family member 3
ILMN_1687495	6.72E-15	2.40E-17	6.17E+01	30.3516542	2.53818657	49619230	SLC37A1	solute carrier family 37 member 1
ILMN_2306540	7.28E-15	2.63E-17	6.13E+01	30.2617748	2.51689996	48762717	PDE9A	phosphodiesterase 9A
ILMN_2176592	7.28E-15	2.64E-17	-6.13E+01	30.2598755	-2.68857288	1042705442	BCHE	butyrylcholinesterase
ILMN_2390919	7.57E-15	2.76E-17	6.11E+01	30.2150984	3.15794712	51873054	FBLN2	fibulin 2
ILMN_1842582	7.91E-15	2.91E-17	6.08E+01	30.1629034	2.06365882	31454731		
ILMN_1709269	7.91E-15	2.91E-17	-6.08E+01	30.1603559	-2.51082574	954170026	CDH12	cadherin 12
ILMN_2219767	7.97E-15	2.95E-17	6.07E+01	30.1462114	2.11628443	648216289	MYCN	v-myc avian myelocytomatosis viral oncogene neuroblastoma derived homolog
ILMN_1715603	7.99E-15	2.98E-17	-6.07E+01	30.1369618	-2.39833729	28144902	IL23A	interleukin 23 subunit alpha
ILMN_1706483	7.99E-15	2.99E-17	6.07E+01	30.133327	2.2739795	145275188	C1orf116	chromosome 1 open reading frame 116
ILMN_1719599	8.05E-15	3.03E-17	6.06E+01	30.119934	2.03930299	193804859	SYTL4	synaptotagmin like 4
ILMN_2122103	8.13E-15	3.10E-17	-6.05E+01	30.0991139	-2.96181941	219689116	ETS1	"ETS proto-oncogene 1, transcription factor"
ILMN_1732696	8.13E-15	3.10E-17	-6.05E+01	30.0987884	-2.45830641	NA		
ILMN_1758055	8.13E-15	3.12E-17	-6.05E+01	30.0932109	-2.13284743	NA		
ILMN_1673769	8.46E-15	3.26E-17	-6.03E+01	30.0477789	-2.15486796	148277549	KCNG1	potassium voltage-gated channel modifier subfamily G member 1
ILMN_1651610	9.18E-15	3.58E-17	5.99E+01	29.9555972	2.05318416	NA		
ILMN_2054121	9.18E-15	3.58E-17	5.99E+01	29.9554466	2.13302042	557440846	CLPSL2	colipase like 2
ILMN_1806710	9.24E-15	3.62E-17	5.98E+01	29.943259	2.21321567	110431369	ESPN	espin
ILMN_1691846	9.59E-15	3.78E-17	-5.96E+01	29.9011187	-2.91672339	181336848	G0S2	G0/G1 switch 2
ILMN_1698934	9.98E-15	3.95E-17	5.94E+01	29.8558897	2.65706112	999809134	CMTM7	CKLF like MARVEL transmembrane domain containing 7
ILMN_2146761	1.00E-14	3.99E-17	5.93E+01	29.8457673	1.99565178	323462197	FABP5	fatty acid binding protein 5
ILMN_2211479	1.03E-14	4.13E-17	-5.92E+01	29.8105645	-2.4538043	556503422	MAEL	maelstrom spermatogenic transposon silencer
ILMN_1677200	1.07E-14	4.31E-17	-5.90E+01	29.7692094	-2.08257497	619328968	CYFIP2	cytoplasmic FMR1 interacting protein 2
ILMN_1725791	1.07E-14	4.34E-17	-5.90E+01	29.7607629	-2.21291681	82659104	HACD1	3-hydroxyacyl-CoA dehydratase 1
ILMN_3184978	1.09E-14	4.44E-17	-5.89E+01	29.7388718	-2.53305086	NA		
ILMN_1721580	1.11E-14	4.55E-17	-5.87E+01	29.7148304	-2.47364908	55770859	TBX15	T-box 15
ILMN_3235803	1.11E-14	4.56E-17	5.87E+01	29.7127537	2.06311157	NA		
ILMN_1756469	1.11E-14	4.60E-17	5.87E+01	29.7040386	2.08653195	375268696	GAMT	guanidinoacetate N-methyltransferase
ILMN_1812070	1.11E-14	4.63E-17	5.87E+01	29.6972453	2.81224421	318037598	ABCB1	ATP binding cassette subfamily B member 1
ILMN_2364521	1.11E-14	4.64E-17	5.87E+01	29.6950425	2.0215606	520260356	AXL	AXL receptor tyrosine kinase
ILMN_2094875	1.11E-14	4.67E-17	5.86E+01	29.6893652	2.20771665	318037598	ABCB1	ATP binding cassette subfamily B member 1
ILMN_1662843	1.16E-14	4.91E-17	-5.84E+01	29.6388855	-2.03535881	91106722	CD53	CD53 molecule
ILMN_1811303	1.19E-14	5.06E-17	-5.83E+01	29.6088349	-2.14852115	451172092	NR5A2	nuclear receptor subfamily 5 group A member 2
ILMN_3224926	1.20E-14	5.12E-17	-5.82E+01	29.5969381	-2.81824438	148833512	RBM47	RNA binding motif protein 47
ILMN_1680569	1.21E-14	5.17E-17	-5.82E+01	29.5864179	-2.16677363	28559014	SSX5	SSX family member 5
ILMN_1713603	1.22E-14	5.23E-17	-5.81E+01	29.5740382	-2.3862235	197100031	PRKCB	protein kinase C beta
ILMN_2127605	1.22E-14	5.26E-17	5.81E+01	29.5695105	2.57571686	221136903	LRP3	LDL receptor related protein 3
ILMN_1684887	1.24E-14	5.38E-17	-5.80E+01	29.5461779	-2.42886136	373838706	SAMSN1	"SAM domain, SH3 domain and nuclear localization signals 1"
ILMN_1657141	1.31E-14	5.70E-17	-5.77E+01	29.4891296	-1.97399366	282847478	FMR1NB	fragile X mental retardation 1 neighbor
ILMN_1779147	1.32E-14	5.77E-17	5.77E+01	29.4767852	2.16479242	375156566	ENC1	ectodermal-neural cortex 1
ILMN_1775268	1.32E-14	5.79E-17	-5.76E+01	29.4720589	-2.25380499	756140906	HECW2	"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2"
ILMN_2184184	1.33E-14	5.87E-17	-5.76E+01	29.4591182	-2.25517438	733606737	ANXA1	annexin A1
ILMN_1753005	1.38E-14	6.12E-17	5.74E+01	29.4166809	2.08698248	223718138	RELN	reelin
ILMN_1798947	1.42E-14	6.36E-17	-5.72E+01	29.3779799	-1.91779508	90186266	ANKRD55	ankyrin repeat domain 55
ILMN_2162253	1.43E-14	6.42E-17	-5.72E+01	29.3681964	-3.94459371	635574606	NMU	neuromedin U
ILMN_1747195	1.46E-14	6.60E-17	5.71E+01	29.3406819	2.01317507	73747874	PSMB8	proteasome subunit beta 8
ILMN_1769575	1.46E-14	6.63E-17	5.70E+01	29.3359819	2.23425024	328927054	JAM3	junctional adhesion molecule 3
ILMN_1730487	1.55E-14	7.10E-17	5.67E+01	29.2669999	2.54147473	261490657	CALD1	caldesmon 1
ILMN_1741265	1.55E-14	7.11E-17	5.67E+01	29.265652	2.06768534	16936541	CRYBA2	crystallin beta A2
ILMN_1703279	1.56E-14	7.17E-17	-5.67E+01	29.2572854	-2.11339824	193804922	CXorf57	chromosome X open reading frame 57
