"","GSM3421746","GSM3421747","GSM3421748","GSM3421752","GSM3421753","GSM3421754"
"GSM3421746",1,0.998763475224074,0.998718876205263,0.963447789795436,0.963361169770669,0.96329661248431
"GSM3421747",0.998763475224074,1,0.99874933625798,0.963269250598297,0.963193354424413,0.963111004652585
"GSM3421748",0.998718876205263,0.99874933625798,1,0.963275694400691,0.96324727612168,0.963202416400394
"GSM3421752",0.963447789795436,0.963269250598297,0.963275694400691,1,0.998563474313065,0.998435645202906
"GSM3421753",0.963361169770669,0.963193354424413,0.96324727612168,0.998563474313065,1,0.998517916747765
"GSM3421754",0.96329661248431,0.963111004652585,0.963202416400394,0.998435645202906,0.998517916747765,1
