"sample","group","median_log2","IQR_log2","mean_correlation_to_other_five","mean_correlation_within_group"
"GSM3421746","Parental",7.355893691,0.951068426,0.97751758469595,0.998741175714668
"GSM3421747","Parental",7.355626266,0.951562554,0.97741728423147,0.998756405741027
"GSM3421748","Parental",7.355347518,0.951553064,0.977438719877201,0.998734106231621
"GSM3421752","Resistant",7.355893691,0.951890292000001,0.977398370862079,0.998499559757985
"GSM3421753","Resistant",7.355580816,0.95192128,0.977376638275518,0.998540695530415
"GSM3421754","Resistant",7.355580816,0.951721678000001,0.977312719097592,0.998476780975336
