"ID","GEO2R_logFC","scripted_logFC","GEO2R_adjP","scripted_adjP"
"ILMN_1651438",0.88166802,0.881668024666661,2.85e-10,2.84645293988343e-10
"ILMN_1651447",-0.04078498,-0.0407849799999997,0.487,0.486885018413368
"ILMN_1651453",0.02000283,0.0200028270000008,0.774,0.77422706238398
"ILMN_1651456",0.04420284,0.044202837666667,0.462,0.462206352168725
"ILMN_1651457",0.0191889,0.0191889046666658,0.79,0.789545887457171
"ILMN_1651464",0.03702623,0.0370262280000011,0.568,0.567571804106842
"ILMN_1651466",-0.04436122,-0.0443612246666687,0.481,0.48067597288595
"ILMN_1651470",0.04322142,0.0432214220000029,0.463,0.462902363015674
"ILMN_1651477",-0.01927769,-0.0192776906666641,0.841,0.84057989845603
"ILMN_1651486",0.04750962,0.047509623333335,0.549,0.549246390712168
"ILMN_1651488",-0.03117882,-0.0311788239999995,0.657,0.656968343404833
"ILMN_1651490",-0.00964462,-0.00964461633333435,0.904,0.903892960955083
"ILMN_1651492",0.00778528,0.00778527666666839,0.927,0.926785039152945
"ILMN_1651495",0.01313504,0.013135039999999,0.885,0.88485939356434
"ILMN_1651496",-0.77549276,-0.775492756666667,3e-10,3.00289693689984e-10
"ILMN_1651498",0.34284072,0.342840718666669,1.12e-06,1.11944916564638e-06
"ILMN_1651499",-0.04005723,-0.040057230333332,0.564,0.563645331527772
"ILMN_1651501",0.03020009,0.030200089,0.657,0.657152243754523
"ILMN_1651504",-0.11617713,-0.116177130333332,0.132,0.132058879677087
"ILMN_1651506",0.14575412,0.145754121333333,0.0302,0.0301722333029948
"ILMN_1651507",-0.21232254,-0.212322541666667,0.000623,0.000623245814270475
"ILMN_1651508",-0.01078467,-0.0107846689999995,0.901,0.900549064560452
"ILMN_1651513",-0.34504409,-0.345044093333332,4.23e-06,4.22980615762262e-06
"ILMN_1651520",-0.00014779,-0.000147788000003146,0.999,0.999003706858606
"ILMN_1651532",0.00753075,0.00753075133333336,0.933,0.932621952190499
