target,candidate,n_probes,baseline_log2_expression,log2_variance_all_six,qualifies,distance
PPP2R5A,PRRC2C,1,10.020289967666667,-4.48188669126235,False,0.01721833692346133
PPP2R5A,CDC25B,1,10.094777156666666,-4.551628916094397,True,0.03615954748512613
PPP2R5A,MBD4,1,10.086274376666667,-4.40675480313437,False,0.038775819677992276
PPP2R5A,GSTT1,1,9.988769665,-4.53463436245298,True,0.03935641857035721
PPP2R5A,FOXJ3,1,10.120204223333333,-4.46711977073016,False,0.046027028431886496
PPP2R5A,CARD11,1,10.026322506333335,-4.6350423472487225,True,0.05235938673473128
PPP2R5A,SLMAP,1,10.161869953333333,-4.544755943304794,True,0.07339958606156724
PPP2R5A,AP3D1,1,10.162371783333334,-4.432547172090546,False,0.07439343042648136
PPP2R5A,MLST8,1,10.1519934,-4.358384234505555,False,0.08042880247898082
PPP2R5A,NUP153,1,9.989473066666667,-4.284968093667542,False,0.08192158523354995
PPP2R5A,PPP1R7,1,9.990627546666667,-4.281183608417734,True,0.08282449233296435
PPP2R5A,SMIM7,1,10.158567893333334,-4.6286515730849604,False,0.08425605047230823
PPP2R5A,REXO4,1,10.130493786666667,-4.680353151629326,False,0.08436102386879518
PPP2R5A,SCO2,1,9.907397724333334,-4.396405523349774,False,0.09327356063043965
PPP2R5A,PI4KAP1,1,9.916261618333332,-4.643476603266686,False,0.09746489201154693
PPP2R5A,AVPI1,1,10.005442361666667,-4.760662932110345,False,0.09880130154713085
PPP2R5A,RNF20,1,9.974242909,-4.2142301068881025,True,0.10866991361817407
PPP2R5A,UBAP2L,1,10.170364359999999,-4.7230125190606245,False,0.11193871327330826
PPP2R5A,RBM5,1,10.227210046666666,-4.457315431720374,False,0.11220913763447135
PPP2R5A,ASF1B,1,10.071069582666667,-4.177675386141418,False,0.11268340432259943
PPP2R5A,MRPL9,1,9.882032457,-4.356725279493099,False,0.1133044349105033
PPP2R5A,PCCA,1,9.871844180000002,-4.60194549634217,True,0.11564470314809902
PPP2R5A,KIAA1324L,1,10.172094543333335,-4.7586086207798095,True,0.12217428331209514
PPP2R5A,FAM102B,1,9.895345049666666,-4.27259561175341,True,0.12239804832664052
PPP2R5A,HIST1H3H,1,9.860691937,-4.611027341160365,True,0.12324583283365166
PPP2R5A,TRMT12,1,10.249202983333333,-4.383457468734564,False,0.1309910331111591
PPP2R5A,TCEB3,1,9.916487929666667,-4.193144596082482,False,0.13370939608613688
PPP2R5A,NSMCE2,1,9.990387534333335,-4.8591162811805,True,0.13498976749376423
PPP2R5A,PIAS4,1,10.168350193333334,-4.8168552564792435,False,0.13752623598487118
