"ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ILMN_1343291",-0.0460043066666618,15.2840258133333,-1.12009555888172,0.283072377447271,0.513247336540314,-8.04383854386295
"ILMN_1343295",0.511004353333332,13.6550590066667,13.4208650015069,5.8441581326079e-09,6.80756486176968e-08,10.1000395263793
"ILMN_1651199",0.0305983403333343,7.17013476416667,0.824517474257935,0.424613298162374,0.65815240086577,-8.33186469501632
"ILMN_1651209",0.0602162356666671,7.3880837445,1.73372886311148,0.106757142395981,0.25371879896152,-7.23336396381803
"ILMN_1651210",0.0232109016666691,7.2265350585,0.542630602334202,0.596624903664639,0.792217349728806,-8.53188547551881
"ILMN_1651221",-0.0633803426666661,7.28086881166667,-1.769624735815,0.100381191231325,0.241638152665351,-7.17864300936767
"ILMN_1651228",0.233245216666667,14.5776424383333,5.10157676786543,0.000207438665578511,0.000908792662084981,-1.01403627472233
"ILMN_1651229",-0.166051273666666,8.50224818216667,-4.38151451143741,0.000753958328715982,0.00300507884511773,-2.35436227896191
"ILMN_1651230",-0.0329083223333315,7.28138051183333,-0.911268974035542,0.378849747005695,0.615531450295887,-8.25524663501454
"ILMN_1651232",-0.0803502659999991,7.52543315233333,-1.85349192483057,0.0867910510690207,0.215100965919616,-7.04817319472981
"ILMN_1651235",-0.00517331799999887,7.215181133,-0.13570349732325,0.894148157379079,0.957099495339942,-8.67877335144622
"ILMN_1651236",0.0359534999999997,7.21433289266667,1.04013890431192,0.31735808560379,0.552725561572169,-8.12914445541671
"ILMN_1651237",-0.265934213333329,11.0140665066667,-6.66666453108831,1.59995491484156e-05,8.5633765095277e-05,1.67763480992535
"ILMN_1651238",0.00289705133333484,7.15796485466667,0.0758364898208371,0.940711427739915,0.976012649723432,-8.68558753588702
"ILMN_1651249",0.0410266263333332,7.24102392916667,1.22569679340977,0.242196069465802,0.463439563531081,-7.92329321011095
"ILMN_1651253",0.558266413666668,8.04099029616667,16.0389700482509,6.61085686106996e-10,1.02087800376163e-08,12.4272133953277
"ILMN_1651254",-0.0120247986666655,7.277664211,-0.326035055231031,0.749620715864736,0.885310143090209,-8.63166953120894
"ILMN_1651259",-0.259250758333334,7.66320373116667,-7.79320886553023,3.10238807138827e-06,1.92111292807722e-05,3.41430996003933
"ILMN_1651260",-0.0896906176666663,7.18364137783333,-2.60232019289307,0.0220057024666417,0.0659877627369965,-5.75662988921222
"ILMN_1651262",-0.170792266666666,13.6998830833333,-2.89851269161338,0.0125158221785538,0.0397949549379103,-5.20367016072534
"ILMN_1651268",-0.129473210666665,7.39930201733333,-3.81264488288466,0.00217937365672475,0.00802405755430475,-3.44483108901023
"ILMN_1651278",0.145942419333332,9.40035559733333,3.06857298586426,0.00903381233399941,0.0295862209479474,-4.88026050907905
"ILMN_1651279",0.0216628209999996,7.3595860925,0.523416109298078,0.60954941541589,0.801893025523306,-8.54267963058077
"ILMN_1651281",0.0428732730000005,7.22138784516667,1.02320495025238,0.324996695502916,0.560550748812381,-8.14652900276603
"ILMN_1651282",-0.0380173686666625,7.277378429,-0.930253301546735,0.369303730812686,0.606496424243325,-8.23757863067509
"ILMN_1651285",-0.645553665,8.1392805265,-17.6478467570463,2.02295786699397e-10,3.70128397338458e-09,13.691109736369
"ILMN_1651286",-0.0830698349999972,7.2035886605,-2.02603096971722,0.0639337553454607,0.166941870537943,-6.76911984056801
"ILMN_1651288",0.0463852689999982,7.34864319216667,1.22836158914731,0.241227752975699,0.462204746359305,-7.92013905725659
"ILMN_1651292",-0.0661660469999976,7.2017813115,-1.8164456786667,0.0925759764638213,0.226771201526016,-7.1062472841127
"ILMN_1651296",0.940680509333333,9.00342043133333,26.9804168131448,9.67121883156256e-13,3.90345270840067e-11,19.3755703252911
"ILMN_1651303",0.00586177433333557,7.24523861416667,0.142592053764205,0.888813067272663,0.954417524520021,-8.67774243525463
"ILMN_1651309",0.00878517400000156,7.18254100366667,0.253050577485434,0.804212607552888,0.913484400999594,-8.65428253615345
"ILMN_1651310",-0.0410235656666655,7.22080919116667,-0.894953863603739,0.387188335979621,0.623451752869555,-8.27017439631609
"ILMN_1651315",-0.8624831,10.66269508,-23.3838727267687,5.92649004613602e-12,1.80792402744626e-10,17.4517894789023
"ILMN_1651316",0.712351238333333,9.7342338475,15.8368718608412,7.72974609229192e-10,1.16881780248575e-08,12.2602722356773
"ILMN_1651325",-0.0418314353333331,7.19196125133333,-1.19059548099107,0.255237957067055,0.479723234083022,-7.9643312224785
"ILMN_1651328",-0.0947860703333312,7.5129066485,-2.56857246101742,0.0234561424288768,0.06995954107995,-5.81854872268456
"ILMN_1651329",-0.0289201810000019,7.25170173516667,-0.740484397642395,0.472255335425051,0.698837857382088,-8.39947733904809
"ILMN_1651330",-0.0338127123333338,7.14455067283333,-0.993816397788693,0.338569404859183,0.575386653629005,-8.17612200629304
"ILMN_1651336",-0.458815846666668,7.88272228866667,-10.8831199094951,7.1219907467571e-08,6.28521340000207e-07,7.43113065236289
"ILMN_1651339",-0.121194402333333,7.44079062383333,-3.37060392697368,0.00506048224955967,0.0174451364872733,-4.29958159755619
"ILMN_1651341",0.050870836333333,8.2730004835,0.668790708098264,0.515406687400321,0.733015600503113,-8.45187212827423
"ILMN_1651343",0.115345355,7.5796976825,2.24473385393095,0.0429485510240533,0.119156302509187,-6.39755319962287
"ILMN_1651346",-0.58680035,8.256435236,-13.6067049535079,4.9470725663521e-09,5.88304225134338e-08,10.277999529169
"ILMN_1651347",-0.333370459999999,10.2524045633333,-8.45199551552056,1.27736413014408e-06,8.55131362599856e-06,4.35663414840875
"ILMN_1651351",-0.0167289166666666,7.198435506,-0.451801123574115,0.658906965349205,0.833190610249615,-8.57960958164744
"ILMN_1651354",0.00230147066666841,7.304559182,0.0526930496320211,0.958782855786153,0.982968313331612,-8.68718903818186
"ILMN_1651358",0.318530670000003,14.9956234616667,7.7945250203902,3.09673592929025e-06,1.91861927038669e-05,3.41624461712744
"ILMN_1651364",-0.000911437666666792,7.8569996905,-0.0208365508551946,0.983694541505082,0.993396764253427,-8.6884504193849
"ILMN_1651365",0.00173341499999946,7.09117224383333,0.0518486838932784,0.959442686395231,0.98326270057167,-8.68723656825675
"ILMN_1651369",-0.0465053433333313,7.25996570766667,-1.27838847510248,0.22361096858404,0.43944011787662,-7.85992913215973
"ILMN_1651370",-0.128793911,7.46202551283333,-3.69032314541778,0.002748351281897,0.00995592149317445,-3.68127319786009
"ILMN_1651373",0.502397121666665,9.33278775816667,13.8726188653208,3.91099703915858e-09,4.79453157856376e-08,10.5289621609983
"ILMN_1651378",-0.314211556666665,10.9774937483333,-9.1969110540667,4.96227202534045e-07,3.61513995453027e-06,5.36236669608742
"ILMN_1651380",0.0104253703333361,7.35060823216667,0.276588782231288,0.786473109725489,0.90406899610479,-8.64760469013418
"ILMN_1651385",-0.0642861463333322,9.28342429516667,-1.77000037300682,0.100316301189534,0.241510772511858,-7.17806674072112
"ILMN_1651388",-0.00506349333333223,7.21666864433333,-0.149713352580037,0.883303647685259,0.951569150868846,-8.6766232092696
"ILMN_1651395",0.018359224000001,7.302431036,0.549627063216194,0.59195366838055,0.789009796549005,-8.52786271387927
"ILMN_1651396",0.032021341000001,7.22202743783333,0.807453640765886,0.434026122804706,0.666753923136195,-8.34612692150556
"ILMN_1651403",-0.00122744399999863,7.38169004333333,-0.0338950270428021,0.973479149971081,0.989423741962989,-8.68806552289586
"ILMN_1651404",-0.066856824666667,7.22828357866667,-1.74627077683051,0.104489653208633,0.249396759841863,-7.21432323344222
"ILMN_1651405",0.429066730000004,11.295513015,9.41682705260875,3.79500353266294e-07,2.8450778190656e-06,5.64788342243923
"ILMN_1651408",0.115345919333334,7.32619097733333,2.74859773081581,0.0166663883032586,0.0514874299911542,-5.48549332857438
"ILMN_1651415",0.122541369333334,7.47577268466667,3.27707006966832,0.00605453800146224,0.020587085832593,-4.48000856941232
