target,candidate,n_probes,baseline_log2_expression,log2_variance_all_six,log2_variance_within_group,qualifies,distance
PPP2R5A,TROAP,1,10.01700385,-6.3356965700819945,-8.188461838631346,False,0.018917422229720204
PPP2R5A,SIN3A,1,10.068381213333334,-8.268659805122368,-8.207866739528592,False,0.02038569576568388
PPP2R5A,PPP1R7,1,9.990627546666667,-4.281183608417734,-8.169624854565615,True,0.037284621465850806
PPP2R5A,LMNB1,1,10.107787693333334,-5.11269628190733,-8.203375682889066,True,0.03945428415940503
PPP2R5A,C22orf39,1,10.081558616666667,-7.378157824399488,-8.239506071373205,False,0.04421648755643114
PPP2R5A,PDRG1,1,10.026778931,-2.8599928033556075,-8.12741786612197,False,0.044944673357125396
PPP2R5A,GALNT11,1,10.032503998666666,-3.977784458455868,-8.261467661944991,False,0.055631917438432064
PPP2R5A,TMEM116,1,10.047209969999999,-5.33500714207512,-8.269654897627008,True,0.060840890920211735
PPP2R5A,CMC1,1,10.127564040000001,-6.129789795654351,-8.133716194809475,False,0.06287051549521908
PPP2R5A,GMFB,1,10.102291346666666,-6.416011370739118,-8.107935161946347,False,0.06666677726861175
PPP2R5A,PRPF3,1,10.115345699999999,-7.629922791087473,-8.263872661743836,False,0.0705761991502691
PPP2R5A,XPO7,1,9.936176851,-5.147409373756687,-8.151249644501236,True,0.07360997247858157
PPP2R5A,GBE1,1,9.968409838666666,-1.3949016256709088,-8.110701926963415,True,0.07388223768995182
PPP2R5A,COX10,1,10.009088396333333,-7.225219369853621,-8.08586535344387,False,0.0771952813588645
PPP2R5A,RAB3IL1,1,10.175806243333334,-5.322542117939966,-8.220064737538186,True,0.08335296323939045
PPP2R5A,KAT8,1,10.062406304333335,-6.529908053659381,-8.070632326885724,False,0.08508608274206729
PPP2R5A,MMD,1,10.138014546666668,-7.115855716825041,-8.092409456041706,False,0.08873012261749295
PPP2R5A,EXOSC5,1,10.15696938,-6.633624126779397,-8.106653557752105,True,0.089508048772493
PPP2R5A,COA5,1,10.074006933333335,-3.482707030646978,-8.310743285309915,True,0.09234792595922413
PPP2R5A,PLEKHF1,1,10.09955895,-3.069862162771322,-8.307449876370216,True,0.0941846615607325
PPP2R5A,ZYG11B,1,9.907865333666665,-5.50028695995108,-8.237947404329327,True,0.09439179212559815
PPP2R5A,DPM2,1,10.205274263333335,-6.281852756341989,-8.158426604655961,False,0.10002325231081559
PPP2R5A,TNPO3,1,9.913340451666667,-5.593740899171933,-8.106664631768021,False,0.10152417405501588
PPP2R5A,P3H1,1,10.064386853333334,-2.328014570268947,-8.046241837937753,True,0.10293713190275186
PPP2R5A,PELP1,1,9.932420429666667,-3.6128659878198612,-8.289799303407891,False,0.10390119868622193
PPP2R5A,NABP1,1,9.942255138,-2.621493683723734,-8.299660528557853,False,0.1053724967297162
PPP2R5A,TRAPPC8,1,10.13278083,-5.773844084115987,-8.312907927103197,True,0.10653533183568642
PPP2R5A,SERINC1,1,10.09760118,-8.534156328736655,-8.329296265836222,False,0.10896032045169568
PPP2R5A,WDR36,1,10.097597883333334,-8.18724178182518,-8.329506435028998,False,0.10910690522756279
PPP2R5A,DGCR8,1,9.902541942333334,-7.555797209284259,-8.098331670175686,False,0.1105088960205871
PPP2R5A,MRM3,1,10.104375403333334,-3.5153467654738777,-8.040637511318044,False,0.112200690740505
PPP2R5A,TWF2,1,10.21856557,-7.724590022837495,-8.132202285134724,False,0.11330037221733676
PPP2R5A,DECR2,1,10.049516993333334,-1.7727659820178447,-8.03010355900463,True,0.1141959363874262
PPP2R5A,F12,1,10.17204447,-3.43619716517057,-8.071187696706568,True,0.11428308748016966
